colony,individual,type,size,treatment,col_size
15,1,five,0.30768,3MeC27,16
15,2,five,0.61536,3MeC27,16
15,3,five,0.49998,3MeC27,16
15,4,four,0.61536,3MeC27,16
15,5,two,0.23076,3MeC27,16
15,6,four,0.61536,3MeC27,16
15,7,zero,0,3MeC27,16
15,8,one,0.1923,3MeC27,16
15,9,three,0.30768,3MeC27,16
15,10,five,0.3846,3MeC27,16
15,11,three,0.26922,3MeC27,16
15,12,two,0.1923,3MeC27,16
15,13,five,0.42306,3MeC27,16
15,14,one,0.1923,3MeC27,16
15,15,three,0.26922,3MeC27,16
15,16,two,0.26922,3MeC27,16
15,1,four,0.3846,3MeC29,2
15,2,zero,0,3MeC29,2
15,1,zero,0,control,2
15,2,one,0.1923,control,2
15,1,one,0.11538,C29,13
15,2,two,0.1923,C29,13
15,3,two,0.1923,C29,13
15,4,zero,0,C29,13
15,5,zero,0,C29,13
15,6,zero,0,C29,13
15,7,one,0.11538,C29,13
15,8,one,0.07692,C29,13
15,9,five,0.1923,C29,13
15,10,two,0.15384,C29,13
15,11,zero,0,C29,13
15,12,two,0.1923,C29,13
15,13,zero,0,C29,13
23,1,zero,0,3MeC27,62
23,2,zero,0,3MeC27,62
23,3,zero,0,3MeC27,62
23,4,one,0.1923,3MeC27,62
23,5,zero,0,3MeC27,62
23,6,zero,0,3MeC27,62
23,7,one,0.15384,3MeC27,62
23,8,two,0.23076,3MeC27,62
23,9,two,0.1923,3MeC27,62
23,10,zero,0,3MeC27,62
23,11,two,0.26922,3MeC27,62
23,12,two,0.15384,3MeC27,62
23,13,zero,0,3MeC27,62
23,14,one,0.07692,3MeC27,62
23,15,one,0.1923,3MeC27,62
23,16,zero,0,3MeC27,62
23,17,two,0.1923,3MeC27,62
23,18,zero,0,3MeC27,62
23,19,one,0.11538,3MeC27,62
23,20,two,0.23076,3MeC27,62
23,21,one,0.1923,3MeC27,62
23,22,zero,0,3MeC27,62
23,23,zero,0,3MeC27,62
23,24,two,0.1923,3MeC27,62
23,25,zero,0,3MeC27,62
23,26,one,0.15384,3MeC27,62
23,27,two,0.1923,3MeC27,62
23,28,two,0.1923,3MeC27,62
23,29,zero,0,3MeC27,62
23,30,one,0.1923,3MeC27,62
23,31,zero,0,3MeC27,62
23,32,one,0.11538,3MeC27,62
23,33,zero,0,3MeC27,62
23,34,zero,0,3MeC27,62
23,35,two,0.34614,3MeC27,62
23,36,zero,0,3MeC27,62
23,37,one,0.15384,3MeC27,62
23,38,zero,0,3MeC27,62
23,39,one,0.15384,3MeC27,62
23,40,zero,0,3MeC27,62
23,41,one,0.11538,3MeC27,62
23,42,one,0.11538,3MeC27,62
23,43,two,0.1923,3MeC27,62
23,44,two,0.15384,3MeC27,62
23,45,zero,0,3MeC27,62
23,46,one,0.15384,3MeC27,62
23,47,zero,0,3MeC27,62
23,48,one,0.11538,3MeC27,62
23,49,zero,0,3MeC27,62
23,50,one,0.23076,3MeC27,62
23,51,two,0.1923,3MeC27,62
23,52,one,0.15384,3MeC27,62
23,53,one,0.11538,3MeC27,62
23,54,one,0.23076,3MeC27,62
23,55,one,0.11538,3MeC27,62
23,56,zero,0,3MeC27,62
23,57,zero,0,3MeC27,62
23,58,zero,0,3MeC27,62
23,59,one,0.1923,3MeC27,62
23,60,one,0.11538,3MeC27,62
23,61,zero,0,3MeC27,62
23,62,zero,0,3MeC27,62
23,1,zero,0,3MeC29,49
23,2,two,0.1923,3MeC29,49
23,3,one,0.15384,3MeC29,49
23,4,one,0.23076,3MeC29,49
23,5,one,0.23076,3MeC29,49
23,6,one,0.15384,3MeC29,49
23,7,one,0.11538,3MeC29,49
23,8,two,0.1923,3MeC29,49
23,9,two,0.15384,3MeC29,49
23,10,one,0.11538,3MeC29,49
23,11,one,0.11538,3MeC29,49
23,12,two,0.1923,3MeC29,49
23,13,zero,0,3MeC29,49
23,14,one,0.11538,3MeC29,49
23,15,one,0.11538,3MeC29,49
23,16,two,0.1923,3MeC29,49
23,17,two,0.1923,3MeC29,49
23,18,zero,0,3MeC29,49
23,19,zero,0,3MeC29,49
23,20,two,0.1923,3MeC29,49
23,21,one,0.1923,3MeC29,49
23,22,zero,0,3MeC29,49
23,23,two,0.23076,3MeC29,49
23,24,two,0.1923,3MeC29,49
23,25,one,0.15384,3MeC29,49
23,26,one,0.15384,3MeC29,49
23,27,one,0.1923,3MeC29,49
23,28,zero,0,3MeC29,49
23,29,two,0.26922,3MeC29,49
23,30,zero,0,3MeC29,49
23,31,five,0.53844,3MeC29,49
23,32,one,0.15384,3MeC29,49
23,33,one,0.11538,3MeC29,49
23,34,two,0.23076,3MeC29,49
23,35,one,0.11538,3MeC29,49
23,36,two,0.1923,3MeC29,49
23,37,two,0.23076,3MeC29,49
23,38,two,0.23076,3MeC29,49
23,39,one,0.11538,3MeC29,49
23,40,five,0.1923,3MeC29,49
23,41,one,0.1923,3MeC29,49
23,42,zero,0,3MeC29,49
23,43,zero,0,3MeC29,49
23,44,one,0.11538,3MeC29,49
23,45,two,0.1923,3MeC29,49
23,46,two,0.1923,3MeC29,49
23,47,one,0.11538,3MeC29,49
23,48,two,0.15384,3MeC29,49
23,49,one,0.1923,3MeC29,49
23,1,zero,0,C27,32
23,2,zero,0,C27,32
23,3,zero,0,C27,32
23,4,zero,0,C27,32
23,5,one,0.1923,C27,32
23,6,one,0.11538,C27,32
23,7,two,0.26922,C27,32
23,8,zero,0,C27,32
23,9,zero,0,C27,32
23,10,zero,0,C27,32
23,11,zero,0,C27,32
23,12,five,0.26922,C27,32
23,13,one,0.1923,C27,32
23,14,two,0.23076,C27,32
23,15,zero,0,C27,32
23,16,one,0.23076,C27,32
23,17,zero,0,C27,32
23,18,zero,0,C27,32
23,19,one,0.1923,C27,32
23,20,zero,0,C27,32
23,21,one,0.15384,C27,32
23,22,one,0.1923,C27,32
23,23,zero,0,C27,32
23,24,one,0.1923,C27,32
23,25,zero,0,C27,32
23,26,zero,0,C27,32
23,27,one,0.23076,C27,32
23,28,zero,0,C27,32
23,29,one,0.07692,C27,32
23,30,two,0.26922,C27,32
23,31,two,0.26922,C27,32
23,32,zero,0,C27,32
23,1,one,0.15384,C29,53
23,2,one,0.15384,C29,53
23,3,one,0.11538,C29,53
23,4,one,0.15384,C29,53
23,5,five,0.3846,C29,53
23,6,one,0.1923,C29,53
23,7,two,0.23076,C29,53
23,8,one,0.1923,C29,53
23,9,one,0.15384,C29,53
23,10,one,0.1923,C29,53
23,11,one,0.11538,C29,53
23,12,zero,0,C29,53
23,13,one,0.1923,C29,53
23,14,one,0.23076,C29,53
23,15,one,0.1923,C29,53
23,16,two,0.23076,C29,53
23,17,zero,0,C29,53
23,18,zero,0,C29,53
23,19,zero,0,C29,53
23,20,one,0.15384,C29,53
23,21,two,0.1923,C29,53
23,22,two,0.1923,C29,53
23,23,zero,0,C29,53
23,24,one,0.15384,C29,53
23,25,two,0.1923,C29,53
23,26,one,0.15384,C29,53
23,27,zero,0,C29,53
23,28,one,0.1923,C29,53
23,29,two,0.1923,C29,53
23,30,zero,0,C29,53
23,31,one,0.11538,C29,53
23,32,five,0.49998,C29,53
23,33,zero,0,C29,53
23,34,zero,0,C29,53
23,35,one,0.1923,C29,53
23,36,zero,0,C29,53
23,37,one,0.1923,C29,53
23,38,zero,0,C29,53
23,39,one,0.23076,C29,53
23,40,one,0.1923,C29,53
23,41,two,0.1923,C29,53
23,42,five,0.26922,C29,53
23,43,one,0.1923,C29,53
23,44,two,0.23076,C29,53
23,45,zero,0,C29,53
23,46,two,0.1923,C29,53
23,47,one,0.1923,C29,53
23,48,two,0.23076,C29,53
23,49,two,0.15384,C29,53
23,50,two,0.1923,C29,53
23,51,one,0.1923,C29,53
23,52,zero,0,C29,53
23,53,one,0.1923,C29,53
23,1,one,0.15384,control,42
23,2,two,0.23076,control,42
23,3,one,0.1923,control,42
23,4,two,0.1923,control,42
23,5,four,0.53844,control,42
23,6,one,0.15384,control,42
23,7,one,0.11538,control,42
23,8,two,0.15384,control,42
23,9,one,0.11538,control,42
23,10,one,0.11538,control,42
23,11,four,0.3846,control,42
23,12,one,0.1923,control,42
23,13,two,0.15384,control,42
23,14,one,0.11538,control,42
23,15,two,0.1923,control,42
23,16,one,0.1923,control,42
23,17,two,0.23076,control,42
23,18,three,0.26922,control,42
23,19,one,0.15384,control,42
23,20,two,0.1923,control,42
23,21,zero,0,control,42
23,22,zero,0,control,42
23,23,zero,0,control,42
23,24,one,0.15384,control,42
23,25,zero,0,control,42
23,26,two,0.1923,control,42
23,27,one,0.11538,control,42
23,28,one,0.11538,control,42
23,29,one,0.07692,control,42
23,30,one,0.11538,control,42
23,31,two,0.1923,control,42
23,32,two,0.15384,control,42
23,33,one,0.11538,control,42
23,34,one,0.11538,control,42
23,35,zero,0,control,42
23,36,one,0.11538,control,42
23,37,zero,0,control,42
23,38,one,0.1923,control,42
23,39,zero,0,control,42
23,40,one,0.15384,control,42
23,41,zero,0,control,42
23,42,one,0.11538,control,42
24,1,zero,0,3MeC27,32
24,2,two,0.23076,3MeC27,32
24,3,zero,0,3MeC27,32
24,4,two,0.26922,3MeC27,32
24,5,two,0.26922,3MeC27,32
24,6,three,0.26922,3MeC27,32
24,7,three,0.3846,3MeC27,32
24,8,four,0.5769,3MeC27,32
24,9,two,0.23076,3MeC27,32
24,10,four,0.3846,3MeC27,32
24,11,four,0.46152,3MeC27,32
24,12,one,0.15384,3MeC27,32
24,13,one,0.23076,3MeC27,32
24,14,three,0.23076,3MeC27,32
24,15,zero,0,3MeC27,32
24,16,four,0.49998,3MeC27,32
24,17,three,0.26922,3MeC27,32
24,18,four,0.53844,3MeC27,32
24,19,four,0.26922,3MeC27,32
24,20,five,0.65382,3MeC27,32
24,21,four,0.34614,3MeC27,32
24,22,zero,0,3MeC27,32
24,23,zero,0,3MeC27,32
24,24,zero,0,3MeC27,32
24,25,two,0.1923,3MeC27,32
24,26,one,0.15384,3MeC27,32
24,27,one,0.26922,3MeC27,32
24,28,three,0.23076,3MeC27,32
24,29,zero,0,3MeC27,32
24,30,one,0.15384,3MeC27,32
24,31,zero,0,3MeC27,32
24,32,zero,0,3MeC27,32
24,33,one,0.11538,3MeC27,32
24,1,five,0.5769,3MeC29,11
24,2,five,0.69228,3MeC29,11
24,3,one,0.23076,3MeC29,11
24,4,one,0.1923,3MeC29,11
24,5,five,0.42306,3MeC29,11
24,6,one,0.26922,3MeC29,11
24,7,zero,0,3MeC29,11
24,8,one,0.11538,3MeC29,11
24,9,five,0.3846,3MeC29,11
24,10,five,0.69228,3MeC29,11
24,1,five,0.3846,3MeC29,11
24,1,five,0.65382,C27,40
24,2,five,0.61536,C27,40
24,3,one,0.1923,C27,40
24,4,one,0.15384,C27,40
24,5,two,0.1923,C27,40
24,6,four,0.3846,C27,40
24,7,five,0.53844,C27,40
24,8,five,0.61536,C27,40
24,9,one,0.15384,C27,40
24,10,two,0.26922,C27,40
24,11,one,0.15384,C27,40
24,12,two,0.1923,C27,40
24,13,five,0.30768,C27,40
24,14,three,0.30768,C27,40
24,15,two,0.1923,C27,40
24,16,two,0.26922,C27,40
24,17,one,0.23076,C27,40
24,18,one,0.1923,C27,40
24,19,zero,0,C27,40
24,20,zero,0,C27,40
24,21,one,0.11538,C27,40
24,22,one,0.23076,C27,40
24,23,four,0.3846,C27,40
24,24,five,0.42306,C27,40
24,25,five,0.3846,C27,40
24,26,one,0.11538,C27,40
24,27,one,0.1923,C27,40
24,28,zero,0,C27,40
24,29,one,0.23076,C27,40
24,30,one,0.1923,C27,40
24,31,one,0.1923,C27,40
24,32,two,0.1923,C27,40
24,33,zero,0,C27,40
24,34,zero,0,C27,40
24,35,one,0.1923,C27,40
24,36,four,0.34614,C27,40
24,37,zero,0,C27,40
24,38,one,0.1923,C27,40
24,39,one,0.23076,C27,40
24,40,zero,0,C27,40
24,1,zero,0,C29,13
24,2,four,0.30768,C29,13
24,3,four,0.5769,C29,13
24,4,five,0.34614,C29,13
24,5,one,0.1923,C29,13
24,6,four,0.42306,C29,13
24,7,one,0.15384,C29,13
24,8,three,0.30768,C29,13
24,9,zero,0,C29,13
24,10,four,0.49998,C29,13
24,11,four,0.42306,C29,13
24,12,zero,0,C29,13
24,13,one,0.1923,C29,13
24,1,three,0.26922,control,25
24,2,four,0.3846,control,25
24,3,zero,0,control,25
24,4,four,0.61536,control,25
24,5,four,0.65382,control,25
24,6,two,0.23076,control,25
24,7,zero,0,control,25
24,8,four,0.65382,control,25
24,9,three,0.26922,control,25
24,10,four,0.49998,control,25
24,11,four,0.42306,control,25
24,12,four,0.46152,control,25
24,13,three,0.23076,control,25
24,14,three,0.34614,control,25
24,15,four,0.5769,control,25
24,16,three,0.3846,control,25
24,17,one,0.1923,control,25
24,18,zero,0,control,25
24,19,four,0.23076,control,25
24,20,zero,0,control,25
24,21,two,0.1923,control,25
24,22,four,0.42306,control,25
24,23,five,0.5769,control,25
24,24,zero,0,control,25
24,25,zero,0,control,25
28,1,five,0.3846,3MeC27,29
28,2,two,0.1923,3MeC27,29
28,3,one,0.23076,3MeC27,29
28,4,one,0.1923,3MeC27,29
28,5,two,0.1923,3MeC27,29
28,6,zero,0,3MeC27,29
28,7,one,0.1923,3MeC27,29
28,8,zero,0,3MeC27,29
28,9,one,0.1923,3MeC27,29
28,10,one,0.1923,3MeC27,29
28,11,three,0.26922,3MeC27,29
28,12,one,0.23076,3MeC27,29
28,13,one,0.23076,3MeC27,29
28,14,one,0.1923,3MeC27,29
28,15,two,0.1923,3MeC27,29
28,16,four,0.49998,3MeC27,29
28,17,one,0.23076,3MeC27,29
28,18,two,0.1923,3MeC27,29
28,19,two,0.23076,3MeC27,29
28,20,one,0.15384,3MeC27,29
28,21,two,0.23076,3MeC27,29
28,22,one,0.1923,3MeC27,29
28,23,one,0.1923,3MeC27,29
28,24,one,0.23076,3MeC27,29
28,25,one,0.15384,3MeC27,29
28,26,one,0.1923,3MeC27,29
28,27,one,0.1923,3MeC27,29
28,28,one,0.15384,3MeC27,29
28,29,one,0.1923,3MeC27,29
28,1,one,0.23076,3MeC29,20
28,2,zero,0,3MeC29,20
28,3,zero,0,3MeC29,20
28,4,one,0.23076,3MeC29,20
28,5,one,0.1923,3MeC29,20
28,6,five,0.65382,3MeC29,20
28,7,two,0.1923,3MeC29,20
28,8,zero,0,3MeC29,20
28,9,zero,0,3MeC29,20
28,10,three,0.3846,3MeC29,20
28,11,one,0.1923,3MeC29,20
28,12,one,0.1923,3MeC29,20
28,13,one,0.15384,3MeC29,20
28,14,one,0.1923,3MeC29,20
28,15,two,0.23076,3MeC29,20
28,16,two,0.23076,3MeC29,20
28,17,two,0.1923,3MeC29,20
28,18,two,0.1923,3MeC29,20
28,19,zero,0,3MeC29,20
28,20,one,0.15384,3MeC29,20
28,1,zero,0,C27,43
28,2,one,0.1923,C27,43
