colony;indiv;type;oocyte_length;thorax;treatment;n_start;n_end;eggs
10T;1;0;0;5.38;C20;13;96;88
10T;2;0;0;4.46;C20;13;96;88
10T;3;0;0;4;C20;13;96;88
10T;4;3;2.14;4.92;C20;13;96;88
10T;5;0;0;5.54;C20;13;96;88
10T;6;5;2.79;4.77;C20;13;96;88
10T;7;5;2.32;4.77;C20;13;96;88
10T;8;0;0;4;C20;13;96;88
10T;9;0;0;4.92;C20;13;96;88
10T;10;0;0;5.23;C20;13;96;88
10T;11;0;0;4.61;C20;13;96;88
10T;12;0;0;4.77;C20;13;96;88
10T;13;0;0;5.38;C20;13;96;88
10T;14;0;0;4;C20;13;96;88
10T;15;0;0;4.92;C20;13;96;88
10T;16;0;0;5.54;C20;13;96;88
10T;17;0;0;3.84;C20;13;96;88
10T;18;0;0;4.77;C20;13;96;88
10T;19;0;0;5.84;C20;13;96;88
10T;20;0;0;4.77;C20;13;96;88
10T;21;4;3.18;5.23;C20;13;96;88
10T;22;4;2.91;5.07;C20;13;96;88
10T;23;2;0.69;5.38;C20;13;96;88
10T;24;0;0;4.92;C20;13;96;88
10T;25;0;0;4.77;C20;13;96;88
10T;26;0;0;5.07;C20;13;96;88
10T;27;0;0;4.15;C20;13;96;88
10T;28;0;0;4.46;C20;13;96;88
10T;29;0;0;4.15;C20;13;96;88
10T;30;3;1.89;5.07;C20;13;96;88
10T;31;0;0;3.84;C20;13;96;88
10T;32;0;0;4.15;C20;13;96;88
10T;33;3;1.04;5.07;C20;13;96;88
10T;34;1;0.25;5.23;C20;13;96;88
10T;35;0;0;5.07;C20;13;96;88
10T;36;0;0;4.92;C20;13;96;88
10T;37;0;0;4.46;C20;13;96;88
10T;38;0;0;5.54;C20;13;96;88
10T;39;4;2.5;4.92;C20;13;96;88
10T;40;0;0;4;C20;13;96;88
10T;41;0;0;4.77;C20;13;96;88
10T;42;5;2.73;4.92;C20;13;96;88
10T;43;0;0;5.38;C20;13;96;88
10T;44;5;2.38;4.46;C20;13;96;88
10T;45;0;0;4.61;C20;13;96;88
10T;46;0;0;5.07;C20;13;96;88
10T;47;5;2.79;4.77;C20;13;96;88
10T;48;0;0;3.84;C20;13;96;88
10T;49;5;2.11;5.38;C20;13;96;88
10T;50;0;0;4.77;C20;13;96;88
10T;51;0;0;5.07;C20;13;96;88
10T;52;0;0;5.54;C20;13;96;88
10T;53;0;0;4.61;C20;13;96;88
10T;54;4;2.61;4.61;C20;13;96;88
10T;55;0;0;5.23;C20;13;96;88
10T;56;5;3;4.46;C20;13;96;88
10T;57;0;0;4.77;C20;13;96;88
10T;58;0;0;4.61;C20;13;96;88
10T;59;5;1.47;5.23;C20;13;96;88
10T;60;5;2.07;4.46;C20;13;96;88
10T;61;0;0;4.92;C20;13;96;88
10T;62;4;2.77;5.07;C20;13;96;88
10T;63;0;0;4.46;C20;13;96;88
10T;64;0;0;4.77;C20;13;96;88
10T;65;5;2.77;5.07;C20;13;96;88
10T;66;0;0;4.61;C20;13;96;88
10T;67;0;0;4.92;C20;13;96;88
10T;68;5;2.55;4;C20;13;96;88
10T;69;0;0;4.77;C20;13;96;88
10T;70;5;1.97;5.23;C20;13;96;88
10T;71;0;0;4.77;C20;13;96;88
10T;72;0;0;4.46;C20;13;96;88
10T;73;0;0;4.61;C20;13;96;88
10T;74;0;0;3.84;C20;13;96;88
10T;75;0;0;4.46;C20;13;96;88
10T;76;4;2.9;4.92;C20;13;96;88
10T;77;0;0;4.15;C20;13;96;88
10T;78;0;0;4.61;C20;13;96;88
10T;79;0;0;5.38;C20;13;96;88
10T;80;0;0;4.31;C20;13;96;88
10T;81;0;0;5.38;C20;13;96;88
10T;82;0;0;4.92;C20;13;96;88
10T;83;0;0;5.38;C20;13;96;88
10T;84;0;0;5.23;C20;13;96;88
10T;85;0;0;4.46;C20;13;96;88
10T;86;0;0;4.61;C20;13;96;88
10T;87;3;0.82;4.46;C20;13;96;88
10T;88;0;0;4.61;C20;13;96;88
10T;89;0;0;4.77;C20;13;96;88
10T;90;0;0;3.69;C20;13;96;88
10T;91;0;0;4.61;C20;13;96;88
10T;92;2;0.5;5.07;C20;13;96;88
11T;1;0;0;5.38;C20;13;43;35
