Colony_nr	Treatment	Colony_size	Number_males	Reproductive	Regressed
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
Vv20	3MeC29	265	1	0	0
