cage_id,worker_type,treatment,colony_id,time_to_egglaying_days,right_censored,brood_type,total_eggs,comments
1,naive,hexane,mix,5,no,larvae+eggs,17,
3,naive,hexane,mix,NA,yes,no brood,0,eggs were never laid
5,naive,c25-high,mix,,,eggs,17,no data for latency
8,naive,hexane,mix,8,no,eggs,22,
9,naive,c25-high,mix,8,no,eggs,32,
10,naive,c25-low,mix,8,no,eggs,16,
11,naive,c25-low,mix,9,no,eggs,8,
12,naive,c25-low,mix,8,no,eggs,14,
13,naive,c25-low,mix,8,no,eggs,9,
14,naive,c25-high,mix,9,no,eggs,16,
15,naive,hexane,mix,8,no,eggs,18,
16,naive,hexane,mix,9,no,eggs,15,
17,naive,hexane,mix,7,no,eggs,32,
18,naive,c25-low,mix,9,no,eggs,9,
19,naive,c25-high,mix,7,no,eggs,24,
21,experienced,c25-high,a,,,eggs,2,no data for latency 
22,experienced,c25-low,c,9,no,eggs,11,
23,experienced,hexane,b,6,no,larvae+eggs,15,
24,experienced,c25-high,a,NA,yes,no brood,0,eggs were never laid
25,experienced,c25-low,a,7,no,eggs,10,
26,naive,hexane,mix,7,no,eggs,31,
27,naive,c25-low,mix,9,no,eggs,4,
28,naive,c25-high,mix,8,no,eggs,26,
29,experienced,c25-low,a,5,no,larvae+eggs,27,
30,naive,c25-high,mix,7,no,eggs,26,
32,naive,c25-high,mix,6,no,larvae+eggs,21,
33,naive,c25-high,mix,8,no,eggs,17,
34,naive,c25-high,mix,8,no,eggs,15,
35,naive,c25-low,mix,8,no,eggs,12,
36,naive,hexane,mix,7,no,eggs,26,
38,naive,c25-low,mix,9,no,eggs,17,
39,naive,hexane,mix,,,eggs,17,no data for latency
40,experienced,c25-high,a,NA,yes,no brood,0,eggs were never laid
41,experienced,hexane,a,6,no,eggs,12,
42,naive,c25-low,mix,7,no,eggs,15,
43,naive,hexane,mix,8,no,eggs,15,
44,naive,c25-low,mix,7,no,eggs,13,
46,experienced,hexane,a,7,no,eggs,12,
47,experienced,hexane,b,3,no,larvae+eggs,18,
49,experienced,c25-low,a,7,no,eggs,6,
50,experienced,c25-low,a,6,no,eggs,9,
51,experienced,c25-high,a,10,no,eggs,2,
52,experienced,c25-high,a,NA,yes,no brood,0,eggs were never laid
53,experienced,c25-high,a,7,no,eggs,19,
54,experienced,c25-high,a,5,no,larvae+eggs,14,
55,experienced,c25-low,a,7,no,eggs,16,
56,experienced,hexane,a,6,no,eggs,15,
57,naive,c25-low,mix,9,no,eggs,9,
58,naive,hexane,mix,8,no,eggs,31,
59,naive,hexane,mix,7,no,eggs,18,
60,naive,hexane,mix,7,no,eggs,32,
61,naive,c25-high,mix,7,no,eggs,15,
62,naive,c25-high,mix,9,no,eggs,7,
63,naive,c25-low,mix,9,no,eggs,9,
64,experienced,c25-low,d,3,no,larvae+eggs,22,
66,experienced,c25-low,a,6,no,eggs,29,
67,experienced,c25-high,d,6,no,eggs,21,
68,experienced,c25-high,a,6,no,eggs,5,
69,experienced,c25-high,a,10,no,eggs,2,
70,experienced,hexane,a,6,no,eggs,36,
71,experienced,hexane,a,9,no,eggs,12,
72,experienced,c25-high,d,NA,yes,no brood,0,eggs were never laid
73,naive,c25-high,mix,7,no,eggs,21,
74,naive,c25-high,mix,8,no,eggs,23,
75,experienced,c25-low,a,9,no,eggs,11,
76,experienced,c25-low,a,4,no,larvae+eggs,14,
77,experienced,hexane,a,5,no,larvae+eggs,37,
78,experienced,c25-high,d,NA,yes,no brood,0,eggs were never laid
79,experienced,c25-high,a,8,no,eggs,20,
80,experienced,c25-high,d,4,no,larvae+eggs,17,
81,experienced,hexane,d,9,no,eggs,9,
82,experienced,c25-low,b,4,no,larvae+eggs,19,
83,experienced,c23-high,a,6,no,larvae,20,
85,experienced,c23-high,a,7,no,eggs,19,
86,experienced,c23-high,a,6,no,larvae+eggs,15,
87,experienced,c23-high,a,6,no,larvae+eggs,26,
88,experienced,c27-high,a,4,no,larvae+eggs,21,
89,experienced,c27-high,a,6,no,eggs,13,
90,experienced,c27-high,a,7,no,eggs,15,
91,experienced,c27-high,a,7,no,eggs,22,
92,experienced,c27-high,d,7,no,eggs,28,
93,experienced,c27-high,d,7,no,eggs,25,
94,experienced,c27-high,d,8,no,eggs,23,
95,experienced,c23-high,d,6,no,eggs,24,
96,experienced,c23-high,d,6,no,larvae+eggs,30,
97,experienced,hexane,d,6,no,larvae+eggs,27,
98,experienced,hexane,d,4,no,larvae+eggs,31,
99,experienced,c27-high,a,8,no,eggs,15,
100,experienced,c27-high,a,8,no,eggs,10,
101,experienced,c27-high,a,NA,yes,no brood,0,eggs were never laid
102,experienced,c23-high,a,6,no,larvae+eggs,12,
103,experienced,c23-high,a,6,no,eggs,18,
104,experienced,c23-high,a,6,no,larvae+eggs,20,
105,experienced,c23-high,a,7,no,eggs,21,
106,experienced,hexane,a,7,no,eggs,15,
107,experienced,hexane,a,7,no,eggs,8,
108,experienced,hexane,g,4,no,larvae+eggs,11,
109,experienced,hexane,f,4,no,larvae+eggs,11,
110,experienced,hexane,f,5,no,larvae+eggs,29,
111,experienced,hexane,f,5,no,larvae+eggs,7,
112,experienced,hexane,e,2,no,larvae+eggs,35,
113,experienced,hexane,g,6,no,eggs,1,
114,experienced,hexane,g,4,no,larvae+eggs,14,
115,experienced,hexane,g,4,no,larvae+eggs,7,
116,experienced,hexane,g,4,no,larvae+eggs,9,
117,experienced,c23-low,g,5,no,larvae+eggs,14,
118,experienced,c23-low,g,5,no,larvae+eggs,7,
119,experienced,c23-low,e,4,no,larvae+eggs,10,
120,experienced,c23-low,f,8,no,eggs,7,
121,experienced,c23-low,g,4,no,larvae+eggs,10,
122,experienced,c23-low,g,3,no,larvae+eggs,13,
123,experienced,c23-low,e,4,no,larvae+eggs,25,
124,experienced,c23-low,e,6,no,larvae+eggs,20,
125,naive,c23-low,mix,8,no,eggs,19,
126,experienced,c23-high,f,10,no,eggs,3,
127,experienced,c23-high,g,6,no,larvae+eggs,9,
128,experienced,c23-high,g,4,no,larvae+eggs,19,
129,experienced,c23-high,e,6,no,eggs,15,
130,experienced,c23-high,e,4,no,larvae+eggs,24,
131,experienced,c23-high,e,2,no,larvae+eggs,18,
132,experienced,c23-high,e,5,no,larvae+eggs,21,
133,experienced,c23-high,g,4,no,larvae+eggs,4,
134,experienced,c23-high,g,8,no,eggs,16,
135,experienced,c23-high,f,5,no,larvae+eggs,13,
136,experienced,c27-low,f,4,no,larvae+eggs,13,
137,experienced,c27-low,g,4,no,larvae+eggs,4,
138,experienced,c27-low,g,4,no,larvae+eggs,23,
139,experienced,c27-low,e,5,no,larvae+eggs,21,
140,experienced,c27-low,e,5,no,larvae+eggs,33,
141,experienced,c27-low,e,4,no,larvae+eggs,13,
142,experienced,c27-low,e,2,no,larvae+eggs,18,
143,experienced,c27-low,g,7,no,eggs,7,
144,experienced,c27-low,g,2,no,larvae+eggs,43,
145,experienced,c27-low,f,5,no,larvae+eggs,30,
146,naive,c27-low,mix,8,no,eggs,21,
147,experienced,c27-high,f,8,no,eggs,28,
148,experienced,c27-high,g,2,no,larvae+eggs,6,
149,experienced,c27-high,g,5,no,larvae+eggs,12,
150,experienced,c27-high,e,4,no,larvae+eggs,14,
151,experienced,c27-high,e,4,no,larvae+eggs,28,
152,experienced,c27-high,e,6,no,eggs,13,
153,experienced,c27-high,e,5,no,larvae+eggs,29,
154,experienced,c27-high,g,NA,yes,no brood,0,eggs were never laid
155,experienced,c27-high,g,4,no,larvae+eggs,4,
156,experienced,c27-high,f,NA,yes,no brood,0,eggs were never laid
157,naive,c27-high,mix,8,no,eggs,11,
158,experienced,c25-low,f,6,no,eggs,5,
159,experienced,c25-low,g,6,no,larvae+eggs,9,
160,experienced,c25-low,g,8,no,eggs,2,
161,experienced,c25-low,e,6,no,larvae+eggs,12,
162,experienced,c25-low,e,2,no,larvae+eggs,15,
163,experienced,c25-low,e,6,no,eggs,14,
164,experienced,c25-low,g,4,no,larvae+eggs,14,
165,experienced,c25-low,g,8,no,eggs,10,
166,experienced,c25-high,f,7,no,eggs,14,
167,experienced,c25-high,g,10,no,eggs,1,
168,experienced,c25-high,g,NA,yes,no brood,0,eggs were never laid
169,experienced,c25-high,e,4,no,larvae+eggs,17,
170,experienced,c25-high,e,6,no,eggs,14,
171,experienced,c25-high,e,6,no,larvae+eggs,20,
172,experienced,c25-high,e,2,no,larvae+eggs,29,
173,experienced,c25-high,g,5,no,larvae+eggs,7,
174,experienced,c25-high,f,7,no,eggs,12,
175,naive,c27-low,mix,4,no,larvae+eggs,17,
176,naive,c23-high,mix,9,no,eggs,4,
177,naive,c27-high,mix,8,no,eggs,31,
178,naive,c27-high,mix,8,no,eggs,14,
179,naive,c23-high,mix,8,no,eggs,25,
180,naive,c23-high,mix,9,no,eggs,20,
181,naive,c27-low,mix,9,no,eggs,18,
182,naive,hexane,mix,10,no,eggs,3,
183,naive,c23-low,mix,8,no,eggs,14,
184,naive,c23-low,mix,8,no,eggs,14,
185,naive,c23-high,mix,8,no,eggs,14,
186,naive,hexane,mix,8,no,eggs,8,
187,naive,c27-low,mix,8,no,eggs,9,
188,naive,c27-low,mix,8,no,eggs,17,
189,naive,c27-high,mix,8,no,eggs,13,
191,naive,c23-high,mix,8,no,eggs,18,
192,naive,hexane,mix,9,no,eggs,12,
193,naive,c23-high,mix,9,no,eggs,9,
194,naive,c23-low,mix,NA,yes,no brood,0,eggs were never laid
195,naive,c27-high,mix,8,no,eggs,13,
196,naive,c27-low,mix,8,no,eggs,14,
197,naive,c27-high,mix,8,no,eggs,6,
198,experienced,c23-low,e,9,no,eggs,19,
199,experienced,c25-low,e,7,no,eggs,11,
200,experienced,c25-low,g,,,eggs,7,no data for latency
201,experienced,hexane,g,,,eggs,4,no data for latency
202,experienced,c23-low,e,5,no,larvae+eggs,5,
