colony,treatment,category0.1,category1.1,category2.1,category3.1,category4.1,category0.2,category1.2,category2.2,category3.2,category4.2
1V,control - virgin queen,9,9,2,0,0,14,5,1,0,0
2V,control - virgin queen,6,11,4,0,0,17,3,0,0,0
3V,control - virgin queen,8,9,3,0,0,20,0,0,0,0
1M,Mated queen,20,0,0,0,0,20,0,0,0,0
2M,Mated queen,20,0,0,0,0,20,0,0,0,0
4V,control - virgin queen,20,0,0,0,0,15,5,0,0,0
5V,control - virgin queen,20,0,0,0,0,14,5,1,0,0
6V,control - virgin queen,20,0,0,0,0,17,3,0,0,0
3M,Mated queen,20,0,0,0,0,20,0,0,0,0
4M,Mated queen,20,0,0,0,0,20,0,0,0,0
7V,control - virgin queen,18,2,0,0,0,16,4,0,0,0
8V,control - virgin queen,16,4,0,0,0,19,1,0,0,0
9V,control - virgin queen,18,2,0,0,0,,,,,
5M,Mated queen,20,0,0,0,0,20,0,0,0,0
6M,Mated queen,20,0,0,0,0,20,0,0,0,0
