ovaryscore,colony,treatment
2,Cykler,C31
1,Cykler,C31
1,Cykler,C31
1,Cykler,C31
1,Cykler,C31
3,Cykler,C31
1,Cykler,C31
1,Cykler,C31
1,Cykler,C31
1,Cykler,C31
1,Cykler,C31
1,Cykler,C31
1,Cykler,C31
1,Cykler,C31
1,Cykler,C31
2,Cykler,C31
1,Cykler,C31
3,Cykler,C31
1,Cykler,C31
1,Cykler,C31
3,Cykler,C31
1,Cykler,C31
1,Cykler,Pentane
1,Cykler,Pentane
1,Cykler,Pentane
1,Cykler,Pentane
1,Cykler,Pentane
1,Cykler,Pentane
1,Cykler,Pentane
1,Cykler,Pentane
1,Cykler,Pentane
1,Cykler,Pentane
1,Cykler,Pentane
1,Cykler,Pentane
1,Cykler,Pentane
1,Cykler,Pentane
1,Cykler,Pentane
1,Cykler,Pentane
3,Cykler,Pentane
1,Cykler,Pentane
2,Cykler,Pentane
1,Cykler,Pentane
2,Cykler,Pentane
1,Cykler,Pentane
1,Cykler,Pentane
3,Cykler,Pentane
1,Cykler,Pentane
3,Cykler,Pentane
1,Cykler,Pentane
1,Cykler,3-MeC31
1,Cykler,3-MeC31
1,Cykler,3-MeC31
1,Cykler,3-MeC31
1,Cykler,3-MeC31
1,Cykler,3-MeC31
1,Cykler,3-MeC31
1,Cykler,3-MeC31
1,Cykler,3-MeC31
1,Cykler,3-MeC31
1,Cykler,3-MeC31
1,Cykler,3-MeC31
1,Cykler,3-MeC31
1,Cykler,3-MeC31
1,Cykler,3-MeC31
1,Cykler,3-MeC31
1,Cykler,3-MeC31
1,Cykler,3-MeC31
1,Cykler,3-MeC31
1,Cykler,3-MeC31
1,Cykler,3-MeC31
1,Cykler,3-MeC31
2,Cykler,3-MeC31
1,Cykler,3-MeC31
1,Cykler,3-MeC31
1.5,Cykler,3-MeC31
1,Cykler,3-MeC31
1,Cykler,3-MeC31
1,Cykler,3-MeC31
1,Caravan,C31
1,Caravan,C31
1,Caravan,C31
1,Caravan,C31
1,Caravan,C31
1,Caravan,C31
1,Caravan,C31
1,Caravan,C31
1,Caravan,C31
1,Caravan,C31
1,Caravan,C31
1,Caravan,C31
1,Caravan,C31
3,Caravan,C31
1,Caravan,C31
1,Caravan,C31
1,Caravan,C31
1,Caravan,C31
1,Caravan,C31
1,Caravan,C31
1,Caravan,Pentane
1,Caravan,Pentane
1,Caravan,Pentane
1,Caravan,Pentane
1,Caravan,Pentane
1,Caravan,Pentane
1,Caravan,Pentane
1,Caravan,Pentane
1,Caravan,Pentane
1,Caravan,Pentane
1,Caravan,Pentane
1,Caravan,Pentane
3,Caravan,Pentane
1,Caravan,Pentane
1,Caravan,Pentane
1,Caravan,Pentane
1,Caravan,Pentane
1,Caravan,3-MeC31
1,Caravan,3-MeC31
1,Caravan,3-MeC31
1,Caravan,3-MeC31
1,Caravan,3-MeC31
1,Caravan,3-MeC31
1,Caravan,3-MeC31
2,Caravan,3-MeC31
1,Caravan,3-MeC31
1,Caravan,3-MeC31
1,Caravan,3-MeC31
1,Caravan,3-MeC31
1,Caravan,3-MeC31
1,Caravan,3-MeC31
1,Caravan,3-MeC31
1,Caravan,3-MeC31
