eggs,L1_larvae,L2_larvae,L3_larvae,pupae,treatment,head.size,,
63,3,2,1,17,Pentane,1.36,,
102,2,3,2,10,Pentane,1.31,,
74,0,1,2,15,Pentane,1.31,,
27,7,7,7,7,Pentane,1.31,,
71,3,0,2,11,Pentane,1.29,,
33,7,2,5,8,Pentane,1.29,,
84,4,0,3,19,Pentane,1.37,,
74,0,1,3,11,Pentane,1.35,,
64,2,6,4,14,Pentane,1.34,,
78,6,1,1,12,Pentane,1.27,,
37,3,6,2,9,Pentane,1.31,,
77,0,3,3,19,Pentane,1.32,,
64,0,3,2,12,Pentane,1.32,,
52,4,0,5,4,Pentane,1.28,,
59,2,2,3,16,Pentane,1.31,,
47,3,3,3,10,Pentane,1.31,,
51,0,4,4,15,Pentane,1.36,,
81,0,1,7,4,Pentane,1.3,,
55,3,3,3,14,Pentane,1.29,,
27,3,11,4,7,C31,1.32,,
61,0,0,2,10,C31,1.36,,
39,0,5,3,13,C31,1.28,,
68,0,1,3,20,C31,1.3,,
60,0,1,0,16,C31,1.25,,
44,0,4,6,5,C31,1.33,,
42,4,5,4,16,C31,1.34,,
67,0,2,2,11,C31,1.33,,
51,1,1,7,8,C31,1.27,,
44,0,18,1,18,C31,1.36,,
129,0,1,2,13,C31,1.36,,
48,2,6,6,9,C31,1.28,,
53,3,3,5,20,C31,1.31,,
87,3,4,5,9,C31,1.29,,
172,0,0,0,0,C31,1.36,,
43,0,1,1,13,C31,1.27,,
30,3,2,4,15,C31,1.31,,
134,1,1,3,3,C31,1.3,,
161,3,4,1,12,C31,1.32,,
80,0,1,7,5,C31,1.29,,
50,1,3,2,15,3-MeC31,1.37,,
70,4,3,5,17,3-MeC31,1.28,,
52,6,6,3,10,3-MeC31,1.32,,
96,2,7,4,9,3-MeC31,1.36,,
124,8,3,1,10,3-MeC31,1.34,,
82,9,1,3,11,3-MeC31,1.36,,
85,0,7,2,11,3-MeC31,1.34,,
36,1,9,6,5,3-MeC31,1.33,,
131,0,3,0,7,3-MeC31,1.34,,
78,0,2,2,15,3-MeC31,1.35,,
87,0,3,4,13,3-MeC31,1.3,,
79,0,0,3,16,3-MeC31,1.34,,
58,0,7,4,6,3-MeC31,1.32,,
9,0,10,1,2,3-MeC31,1.26,,
92,0,4,1,8,3-MeC31,1.32,,
63,0,3,3,17,3-MeC31,1.34,,
143,0,0,0,0,3-MeC31,1.34,,
80,0,4,3,10,3-MeC31,1.3,,
67,1,2,4,9,3-MeC31,1.37,,
62,0,1,2,13,3-MeC31,1.33,,
