pupae.produced,treatment
15,3-MeC31
17,3-MeC31
10,3-MeC31
9,3-MeC31
10,3-MeC31
11,3-MeC31
11,3-MeC31
5,3-MeC31
7,3-MeC31
15,3-MeC31
13,3-MeC31
16,3-MeC31
6,3-MeC31
2,3-MeC31
8,3-MeC31
17,3-MeC31
0,3-MeC31
10,3-MeC31
9,3-MeC31
13,3-MeC31
17,Pentane
10,Pentane
15,Pentane
7,Pentane
11,Pentane
8,Pentane
19,Pentane
11,Pentane
14,Pentane
12,Pentane
9,Pentane
19,Pentane
12,Pentane
4,Pentane
16,Pentane
10,Pentane
15,Pentane
4,Pentane
14,Pentane
7,C31
10,C31
13,C31
20,C31
16,C31
5,C31
16,C31
11,C31
8,C31
18,C31
13,C31
9,C31
20,C31
9,C31
0,C31
13,C31
15,C31
3,C31
12,C31
5,C31
