"","colony","species","treatment","activated"
"1","F1","L. flavus","C31",1
"2","F1","L. flavus","C31",0
"3","F1","L. flavus","C31",0
"4","F1","L. flavus","C31",0
"5","F1","L. flavus","C31",0
"6","F1","L. flavus","C31",0
"7","F1","L. flavus","C31",0
"8","F1","L. flavus","C31",0
"9","F1","L. flavus","C31",0
"10","F1","L. flavus","C31",0
"11","F1","L. flavus","C31",0
"12","F1","L. flavus","C31",0
"13","F1","L. flavus","C31",0
"14","F1","L. flavus","C31",1
"15","F1","L. flavus","C31",0
"16","F1","L. flavus","C31",0
"17","F1","L. flavus","C31",0
"18","F1","L. flavus","C31",1
"19","F1","L. flavus","C31",0
"20","F1","L. flavus","C31",0
"21","F1","L. flavus","C31",0
"22","F1","L. flavus","C31",0
"23","F1","L. flavus","C31",0
"24","F1","L. flavus","C31",0
"25","F1","L. flavus","C31",0
"26","F1","L. flavus","C31",0
"27","F1","L. flavus","C31",0
"28","F1","L. flavus","C31",0
"29","F1","L. flavus","C31",0
"30","F1","L. flavus","C31",0
"31","F1","L. flavus","C31",1
"32","F1","L. flavus","C31",0
"33","F1","L. flavus","Hexane",0
"34","F1","L. flavus","Hexane",0
"35","F1","L. flavus","Hexane",0
"36","F1","L. flavus","Hexane",0
"37","F1","L. flavus","Hexane",0
"38","F1","L. flavus","Hexane",0
"39","F1","L. flavus","Hexane",0
"40","F1","L. flavus","Hexane",0
"41","F1","L. flavus","Hexane",0
"42","F1","L. flavus","Hexane",0
"43","F1","L. flavus","Hexane",0
"44","F1","L. flavus","Hexane",0
"45","F1","L. flavus","Hexane",0
"46","F1","L. flavus","Hexane",0
"47","F1","L. flavus","Hexane",0
"48","F1","L. flavus","Hexane",0
"49","F1","L. flavus","Hexane",0
"50","F1","L. flavus","Hexane",0
"51","F1","L. flavus","Hexane",0
"52","F1","L. flavus","Hexane",0
"53","F1","L. flavus","Hexane",0
"54","F1","L. flavus","Hexane",0
"55","F1","L. flavus","Hexane",0
"56","F1","L. flavus","Hexane",0
"57","F1","L. flavus","Hexane",0
"58","F1","L. flavus","Hexane",0
"59","F1","L. flavus","Hexane",0
"60","F1","L. flavus","Hexane",0
"61","F1","L. flavus","Hexane",0
"62","F1","L. flavus","Hexane",0
"63","F1","L. flavus","Hexane",1
"64","F1","L. flavus","Hexane",0
"65","F1","L. flavus","Hexane",0
"66","F1","L. flavus","Hexane",0
"67","F1","L. flavus","Hexane",1
"68","F1","L. flavus","Hexane",0
"69","F1","L. flavus","3-meC25",0
"70","F1","L. flavus","3-meC25",0
"71","F1","L. flavus","3-meC25",0
"72","F1","L. flavus","3-meC25",0
"73","F1","L. flavus","3-meC25",0
"74","F1","L. flavus","3-meC25",0
"75","F1","L. flavus","3-meC25",0
"76","F1","L. flavus","3-meC25",0
"77","F1","L. flavus","3-meC25",0
"78","F1","L. flavus","3-meC25",0
"79","F1","L. flavus","3-meC25",0
"80","F1","L. flavus","3-meC25",0
"81","F1","L. flavus","3-meC25",0
"82","F1","L. flavus","3-meC25",0
"83","F1","L. flavus","3-meC25",0
"84","F1","L. flavus","3-meC25",0
"85","F1","L. flavus","3-meC25",0
"86","F1","L. flavus","3-meC25",0
"87","F1","L. flavus","3-meC25",0
"88","F1","L. flavus","3-meC25",0
"89","F1","L. flavus","3-meC25",0
"90","F1","L. flavus","3-meC25",0
"91","F1","L. flavus","3-meC25",0
"92","F1","L. flavus","3-meC25",0
"93","F1","L. flavus","3-meC25",0
"94","F1","L. flavus","3-meC25",0
"95","F1","L. flavus","3-meC25",0
"96","F1","L. flavus","3-meC25",0
"97","F1","L. flavus","3-meC25",0
"98","F1","L. flavus","3-meC25",0
"99","F1","L. flavus","3-meC25",1
"100","F1","L. flavus","3-meC25",0
"101","F1","L. flavus","3-meC25",0
"102","F1","L. flavus","3-meC25",1
"103","F1","L. flavus","3-meC25",0
"104","F1","L. flavus","3-meC25",0
"105","F1","L. flavus","3-meC25",1
"106","F1","L. flavus","3-meC25",0
"107","F1","L. flavus","3-meC25",0
"108","F1","L. flavus","3-meC25",1
"109","F1","L. flavus","3-meC25",0
"110","F1","L. flavus","3-meC25",0
"111","F1","L. flavus","3-meC25",0
"112","F1","L. flavus","3-meC31",0
"113","F1","L. flavus","3-meC31",0
"114","F1","L. flavus","3-meC31",0
"115","F1","L. flavus","3-meC31",0
"116","F1","L. flavus","3-meC31",0
"117","F1","L. flavus","3-meC31",0
"118","F1","L. flavus","3-meC31",0
"119","F1","L. flavus","3-meC31",0
"120","F1","L. flavus","3-meC31",0
"121","F1","L. flavus","3-meC31",0
"122","F1","L. flavus","3-meC31",0
"123","F1","L. flavus","3-meC31",0
"124","F1","L. flavus","3-meC31",0
"125","F1","L. flavus","3-meC31",0
"126","F1","L. flavus","3-meC31",0
"127","F1","L. flavus","3-meC31",0
"128","F1","L. flavus","3-meC31",0
"129","F1","L. flavus","3-meC31",1
"130","F1","L. flavus","3-meC31",0
"131","F1","L. flavus","3-meC31",0
"132","F1","L. flavus","3-meC31",0
"133","F1","L. flavus","3-meC31",0
"134","F1","L. flavus","3-meC31",0
"135","F1","L. flavus","3-meC31",0
"136","F1","L. flavus","3-meC31",0
"137","F1","L. flavus","3-meC31",0
"138","F1","L. flavus","3-meC31",0
"139","F1","L. flavus","3-meC31",0
"140","F1","L. flavus","3-meC31",0
"141","F1","L. flavus","3-meC31",0
"142","F1","L. flavus","3-meC31",0
"143","F1","L. flavus","3-meC31",0
"144","F1","L. flavus","3-meC31",0
"145","F1","L. flavus","3-meC31",0
"146","F1","L. flavus","3-meC31",0
"147","F1","L. flavus","3-meC31",0
"148","F1","L. flavus","3-meC33",0
"149","F1","L. flavus","3-meC33",0
"150","F1","L. flavus","3-meC33",0
"151","F1","L. flavus","3-meC33",0
"152","F1","L. flavus","3-meC33",0
"153","F1","L. flavus","3-meC33",0
"154","F1","L. flavus","3-meC33",0
"155","F1","L. flavus","3-meC33",0
"156","F1","L. flavus","3-meC33",0
"157","F1","L. flavus","3-meC33",0
"158","F1","L. flavus","3-meC33",0
"159","F1","L. flavus","3-meC33",0
"160","F1","L. flavus","3-meC33",0
"161","F1","L. flavus","3-meC33",0
"162","F1","L. flavus","3-meC33",0
"163","F1","L. flavus","3-meC33",0
"164","F1","L. flavus","3-meC33",0
"165","F1","L. flavus","3-meC33",0
"166","F1","L. flavus","3-meC33",0
"167","F1","L. flavus","3-meC33",0
"168","F1","L. flavus","3-meC33",0
"169","F1","L. flavus","3-meC33",0
"170","F1","L. flavus","3-meC33",0
"171","F1","L. flavus","3-meC33",0
"172","F1","L. flavus","3-meC33",0
"173","F1","L. flavus","3-meC33",0
"174","F1","L. flavus","3-meC33",0
"175","F1","L. flavus","3-meC33",0
"176","F1","L. flavus","3-meC33",0
"177","F1","L. flavus","3-meC33",0
"178","F1","L. flavus","3-meC33",0
"179","F1","L. flavus","3-meC33",0
"180","F1","L. flavus","3-meC33",0
"181","F1","L. flavus","3-meC33",0
"182","F1","L. flavus","3-meC33",1
"183","F1","L. flavus","3-meC33",0
"184","F1","L. flavus","3-meC33",0
"185","F1","L. flavus","3-meC35",0
"186","F1","L. flavus","3-meC35",0
"187","F1","L. flavus","3-meC35",0
"188","F1","L. flavus","3-meC35",0
"189","F1","L. flavus","3-meC35",0
"190","F1","L. flavus","3-meC35",0
"191","F1","L. flavus","3-meC35",1
"192","F1","L. flavus","3-meC35",0
"193","F1","L. flavus","3-meC35",0
"194","F1","L. flavus","3-meC35",0
