colony,treatment,worker_sizecat,worker_size,oocyte_nr
C1,C25,L,3,0
C1,C25,L,3,35
C1,C25,L,3,0
C1,C25,L,3,0
C1,C25,L,3,0
C1,C25,L,3,43
C1,C25,L,3,2
C1,C25,L,3,21
C1,C25,L,3,0
C1,C25,L,3,0
C1,C25,L,3,0
C1,C25,L,3,17
C1,C25,L,3,25
C1,C25,L,3,27
C1,C25,L,3,0
C1,C25,L,3,21
C1,C25,L,3,3
C1,C25,L,3,28
C1,C25,L,3,25
C1,C25,L,3,0
C1,C25,L,3,0
C1,C25,L,3,35
C1,C25,L,3,0
C1,C25,L,3,0
C1,C25,L,3,0
C1,C25,M,2,0
C1,C25,M,2,0
C1,C25,M,2,7
C1,C25,M,2,0
C1,C25,M,2,0
C1,C25,M,2,0
C1,C25,M,2,0
C1,C25,M,2,0
C1,C25,M,2,0
C1,C25,M,2,0
C1,C25,M,2,38
C1,C25,M,2,0
C1,C25,M,2,0
C1,C25,M,2,0
C1,C25,M,2,0
C1,C25,M,2,0
C1,C25,M,2,0
C1,C25,M,2,5
C1,C25,M,2,0
C1,C25,M,2,0
C1,C25,M,2,4
C1,C25,M,2,17
C1,C25,M,2,0
C1,C25,S,1,0
C1,C25,S,1,0
C2,C25,L,3,0
C2,C25,L,3,0
C2,C25,L,3,9
C2,C25,L,3,0
C2,C25,L,3,0
C2,C25,L,3,0
C2,C25,L,3,49
C2,C25,L,3,43
C2,C25,L,3,0
C2,C25,M,2,0
C2,C25,M,2,2
C2,C25,M,2,0
C2,C25,M,2,0
C2,C25,M,2,3
C2,C25,M,2,9
C2,C25,M,2,0
C2,C25,M,2,8
C2,C25,M,2,0
C2,C25,M,2,0
C2,C25,M,2,7
C2,C25,M,2,0
C2,C25,M,2,0
C2,C25,M,2,0
C2,C25,M,2,0
C2,C25,M,2,22
C2,C25,M,2,0
C2,C25,M,2,10
C2,C25,M,2,17
C2,C25,S,1,0
C2,C25,S,1,0
C2,C25,S,1,0
C2,C25,S,1,0
C2,C25,S,1,0
C2,C25,S,1,13
C2,C25,S,1,0
C2,C25,S,1,0
C2,C25,S,1,0
C2,C25,S,1,0
C2,C25,S,1,0
C2,C25,S,1,0
C2,C25,S,1,0
C2,C25,S,1,0
C2,C25,S,1,0
C2,C25,S,1,0
C2,C25,S,1,0
C2,C25,S,1,0
C2,C25,S,1,0
C2,C25,S,1,0
C2,C25,S,1,0
C2,C25,S,1,0
C3,C25,L,3,31
C3,C25,L,3,0
C3,C25,L,3,0
C3,C25,L,3,0
C3,C25,L,3,51
C3,C25,L,3,32
C3,C25,L,3,0
C3,C25,L,3,0
C3,C25,L,3,0
C3,C25,L,3,0
C3,C25,L,3,21
C3,C25,L,3,12
C3,C25,L,3,13
C3,C25,L,3,0
C3,C25,L,3,0
C3,C25,L,3,37
C3,C25,L,3,0
C3,C25,L,3,0
C3,C25,M,2,0
C3,C25,M,2,0
C3,C25,M,2,0
C3,C25,M,2,0
C3,C25,M,2,0
C3,C25,M,2,0
C3,C25,M,2,0
C3,C25,M,2,0
C3,C25,M,2,0
C3,C25,M,2,0
C3,C25,M,2,0
C3,C25,M,2,0
C3,C25,M,2,0
C3,C25,M,2,0
C3,C25,M,2,0
C3,C25,M,2,0
C3,C25,M,2,0
C3,C25,S,1,0
C3,C25,S,1,0
C3,C25,S,1,0
C3,C25,S,1,0
C3,C25,S,1,0
C3,C25,S,1,0
C3,C25,S,1,0
C3,C25,S,1,0
C3,C25,S,1,0
C3,C25,S,1,0
C3,C25,S,1,0
C3,C25,S,1,0
C3,C25,S,1,0
C3,C25,S,1,0
C3,C25,S,1,0
C3,C25,S,1,0
C4,C25,L,3,0
C4,C25,L,3,23
C4,C25,L,3,0
C4,C25,L,3,0
C4,C25,L,3,10
C4,C25,L,3,0
C4,C25,L,3,19
C4,C25,L,3,30
C4,C25,L,3,14
C4,C25,L,3,0
C4,C25,L,3,0
C4,C25,L,3,0
C4,C25,L,3,65
C4,C25,L,3,29
C4,C25,L,3,0
C4,C25,L,3,0
C4,C25,L,3,0
C4,C25,L,3,0
C4,C25,L,3,0
C4,C25,M,2,5
C4,C25,M,2,0
C4,C25,M,2,0
C4,C25,M,2,0
C4,C25,M,2,0
C4,C25,M,2,0
C4,C25,M,2,0
C4,C25,M,2,0
C4,C25,M,2,0
C4,C25,M,2,0
C4,C25,M,2,0
C4,C25,M,2,0
C4,C25,M,2,0
C4,C25,M,2,0
C4,C25,M,2,0
C4,C25,M,2,0
C4,C25,M,2,0
C4,C25,M,2,0
C4,C25,M,2,0
C4,C25,M,2,0
C4,C25,M,2,4
C4,C25,M,2,0
C4,C25,M,2,0
C4,C25,M,2,0
C4,C25,M,2,0
C4,C25,M,2,0
C4,C25,M,2,0
C4,C25,M,2,0
C4,C25,S,1,0
C4,C25,S,1,0
C4,C25,S,1,0
C5,C25,L,3,0
C5,C25,L,3,21
C5,C25,L,3,0
C5,C25,L,3,0
C5,C25,L,3,0
C5,C25,L,3,0
C5,C25,L,3,47
C5,C25,L,3,0
C5,C25,L,3,46
C5,C25,L,3,0
C5,C25,L,3,0
C5,C25,L,3,0
C5,C25,L,3,0
C5,C25,L,3,0
C5,C25,L,3,0
C5,C25,L,3,0
C5,C25,L,3,0
C5,C25,L,3,34
C5,C25,L,3,0
C5,C25,L,3,0
C5,C25,M,2,0
C5,C25,M,2,35
C5,C25,M,2,0
C5,C25,M,2,0
C5,C25,M,2,0
C5,C25,M,2,0
C5,C25,M,2,20
C5,C25,M,2,0
C5,C25,M,2,0
C5,C25,M,2,0
C5,C25,M,2,0
C5,C25,M,2,12
C5,C25,M,2,0
C5,C25,M,2,0
C5,C25,M,2,0
C5,C25,M,2,0
C5,C25,M,2,0
C5,C25,M,2,0
C5,C25,S,1,0
C5,C25,S,1,0
C5,C25,S,1,0
C5,C25,S,1,0
C5,C25,S,1,0
C5,C25,S,1,0
C5,C25,S,1,0
C5,C25,S,1,0
C5,C25,S,1,13
C5,C25,S,1,0
C5,C25,S,1,0
C5,C25,S,1,0
H1,control,L,3,10
H1,control,L,3,16
H1,control,L,3,7
H1,control,L,3,0
H1,control,L,3,0
H1,control,L,3,0
H1,control,L,3,8
H1,control,L,3,20
H1,control,L,3,21
H1,control,L,3,0
H1,control,M,2,0
H1,control,M,2,0
H1,control,M,2,0
H1,control,M,2,0
H1,control,M,2,27
H1,control,M,2,0
H1,control,M,2,0
H1,control,M,2,0
H1,control,M,2,0
H1,control,M,2,0
H1,control,M,2,0
H1,control,M,2,0
H1,control,M,2,0
H1,control,M,2,0
H1,control,M,2,0
H1,control,M,2,0
H1,control,M,2,0
H1,control,M,2,28
H1,control,M,2,0
H1,control,M,2,0
H1,control,M,2,0
H1,control,M,2,16
H1,control,M,2,0
H1,control,M,2,0
H1,control,M,2,0
H1,control,M,2,0
H1,control,M,2,0
H1,control,M,2,0
H1,control,M,2,0
H1,control,M,2,40
H1,control,S,1,0
H1,control,S,1,0
H1,control,S,1,0
H1,control,S,1,0
H1,control,S,1,0
H1,control,S,1,0
H1,control,S,1,0
H1,control,S,1,0
H1,control,S,1,0
H1,control,S,1,0
H2,control,L,3,0
H2,control,L,3,0
H2,control,L,3,67
H2,control,L,3,0
H2,control,L,3,56
H2,control,L,3,0
H2,control,L,3,3
H2,control,L,3,45
H2,control,M,2,18
H2,control,M,2,0
H2,control,M,2,0
H2,control,M,2,0
H2,control,M,2,0
H2,control,M,2,32
H2,control,M,2,0
H2,control,M,2,0
H2,control,M,2,46
H2,control,M,2,0
H2,control,M,2,42
H2,control,M,2,0
H2,control,M,2,0
H2,control,M,2,13
H2,control,M,2,49
H2,control,M,2,0
H2,control,M,2,31
H2,control,M,2,0
H2,control,M,2,0
H2,control,M,2,0
H2,control,M,2,36
H2,control,M,2,0
H2,control,M,2,0
H2,control,M,2,0
H2,control,M,2,48
H2,control,M,2,39
H2,control,M,2,0
H2,control,M,2,0
H2,control,M,2,0
H2,control,M,2,0
H2,control,S,1,0
H2,control,S,1,0
H2,control,S,1,0
H2,control,S,1,0
H2,control,S,1,0
H2,control,S,1,0
H2,control,S,1,0
H2,control,S,1,0
H2,control,S,1,0
H2,control,S,1,0
H2,control,S,1,28
H2,control,S,1,0
H2,control,S,1,0
H3,control,L,3,28
H3,control,L,3,66
H3,control,L,3,0
H3,control,L,3,87
H3,control,L,3,0
H3,control,L,3,46
H3,control,L,3,28
H3,control,L,3,50
H3,control,L,3,0
H3,control,L,3,40
H3,control,L,3,77
H3,control,L,3,12
H3,control,L,3,51
H3,control,M,2,0
H3,control,M,2,0
H3,control,M,2,0
H3,control,M,2,0
H3,control,M,2,0
H3,control,M,2,0
H3,control,M,2,0
H3,control,M,2,0
H3,control,M,2,0
H3,control,M,2,0
H3,control,M,2,0
H3,control,M,2,0
H3,control,M,2,0
H3,control,M,2,44
H3,control,M,2,0
H3,control,S,1,0
H3,control,S,1,0
H3,control,S,1,0
H3,control,S,1,0
H3,control,S,1,18
H3,control,S,1,0
H3,control,S,1,0
H3,control,S,1,0
H3,control,S,1,0
H3,control,S,1,0
H3,control,S,1,0
H3,control,S,1,0
H3,control,S,1,0
H3,control,S,1,0
H3,control,S,1,0
H3,control,S,1,0
H3,control,S,1,0
H3,control,S,1,0
H3,control,S,1,0
H3,control,S,1,0
H3,control,S,1,0
H3,control,S,1,0
H4,control,L,3,0
H4,control,L,3,0
H4,control,L,3,14
H4,control,L,3,0
H4,control,L,3,0
H4,control,L,3,0
H4,control,L,3,0
H4,control,L,3,0
H4,control,L,3,18
H4,control,L,3,33
H4,control,L,3,0
H4,control,L,3,0
H4,control,L,3,0
H4,control,L,3,0
H4,control,L,3,0
H4,control,L,3,36
H4,control,L,3,0
H4,control,L,3,0
H4,control,L,3,21
H4,control,L,3,0
H4,control,L,3,0
H4,control,M,2,44
H4,control,M,2,0
H4,control,M,2,0
H4,control,M,2,0
H4,control,M,2,4
H4,control,M,2,0
H4,control,M,2,0
H4,control,M,2,0
H4,control,M,2,0
H4,control,M,2,0
H4,control,M,2,0
H4,control,M,2,0
H4,control,M,2,29
H4,control,M,2,0
H4,control,M,2,0
H4,control,M,2,0
H4,control,M,2,5
H4,control,M,2,0
H4,control,M,2,0
H4,control,S,1,0
H4,control,S,1,0
H4,control,S,1,8
H4,control,S,1,0
H4,control,S,1,0
H4,control,S,1,0
H4,control,S,1,0
H4,control,S,1,0
H4,control,S,1,0
H4,control,S,1,0
H5,control,L,3,83
H5,control,L,3,0
H5,control,L,3,69
H5,control,L,3,41
H5,control,L,3,26
H5,control,L,3,35
H5,control,L,3,0
H5,control,L,3,114
H5,control,L,3,0
H5,control,L,3,39
H5,control,L,3,0
H5,control,L,3,0
H5,control,L,3,0
H5,control,M,2,0
H5,control,M,2,0
H5,control,M,2,0
H5,control,M,2,5
H5,control,M,2,33
H5,control,M,2,91
H5,control,M,2,29
H5,control,M,2,0
H5,control,M,2,0
H5,control,M,2,0
H5,control,M,2,0
H5,control,M,2,11
H5,control,M,2,7
H5,control,M,2,0
H5,control,M,2,0
H5,control,M,2,0
H5,control,M,2,0
