experiment,colony,beenr,treatment,ovary_score
1,2,1,control,1
1,2,1,QMP,0
1,2,1,MO+CA+PA,1
1,2,1,QMP+MO+CA+PA,2
1,2,2,control,2
1,2,2,QMP,0
1,2,2,MO+CA+PA,2
1,2,2,QMP+MO+CA+PA,1
1,2,3,control,4
1,2,3,QMP,1
1,2,3,MO+CA+PA,0
1,2,3,QMP+MO+CA+PA,1
1,2,4,control,4
1,2,4,QMP,3
1,2,4,MO+CA+PA,0
1,2,4,QMP+MO+CA+PA,0
1,2,5,control,2
1,2,5,QMP,0
1,2,5,MO+CA+PA,2
1,2,5,QMP+MO+CA+PA,0
1,13,1,control,2
1,13,1,QMP,1
1,13,1,MO+CA+PA,1
1,13,1,QMP+MO+CA+PA,0
1,13,2,control,4
1,13,2,QMP,1
1,13,2,MO+CA+PA,1
1,13,2,QMP+MO+CA+PA,1
1,13,3,control,1
1,13,3,QMP,2
1,13,3,MO+CA+PA,1
1,13,3,QMP+MO+CA+PA,0
1,13,4,control,2
1,13,4,QMP,1
1,13,4,MO+CA+PA,0
1,13,4,QMP+MO+CA+PA,0
1,13,5,control,1
1,13,5,QMP,2
1,13,5,MO+CA+PA,1
1,13,5,QMP+MO+CA+PA,0
1,22,1,control,3
1,22,1,QMP,1
1,22,1,MO+CA+PA,3
1,22,1,QMP+MO+CA+PA,1
1,22,2,control,3
1,22,2,QMP,0
1,22,2,MO+CA+PA,4
1,22,2,QMP+MO+CA+PA,1
1,22,3,control,3
1,22,3,QMP,1
1,22,3,MO+CA+PA,4
1,22,3,QMP+MO+CA+PA,1
1,22,4,control,3
1,22,4,QMP,1
1,22,4,MO+CA+PA,1
1,22,4,QMP+MO+CA+PA,1
1,22,5,control,3
1,22,5,QMP,2
1,22,5,MO+CA+PA,3
1,22,5,QMP+MO+CA+PA,1
1,34,1,control,2
1,34,1,QMP,3
1,34,1,MO+CA+PA,3
1,34,1,QMP+MO+CA+PA,1
1,34,2,control,3
1,34,2,QMP,2
1,34,2,MO+CA+PA,3
1,34,2,QMP+MO+CA+PA,1
1,34,3,control,3
1,34,3,QMP,1
1,34,3,MO+CA+PA,1
1,34,3,QMP+MO+CA+PA,0
1,34,4,control,3
1,34,4,QMP,1
1,34,4,MO+CA+PA,1
1,34,4,QMP+MO+CA+PA,0
1,34,5,control,3
1,34,5,QMP,3
1,34,5,MO+CA+PA,2
1,34,5,QMP+MO+CA+PA,1
1,36,1,control,3
1,36,1,QMP,1
1,36,1,MO+CA+PA,3
1,36,1,QMP+MO+CA+PA,0
1,36,2,control,4
1,36,2,QMP,1
1,36,2,MO+CA+PA,3
1,36,2,QMP+MO+CA+PA,0
1,36,3,control,3
1,36,3,QMP,0
1,36,3,MO+CA+PA,3
1,36,3,QMP+MO+CA+PA,0
1,36,4,control,0
1,36,4,QMP,0
1,36,4,MO+CA+PA,0
1,36,4,QMP+MO+CA+PA,0
1,36,5,control,1
1,36,5,QMP,0
1,36,5,MO+CA+PA,4
1,36,5,QMP+MO+CA+PA,0
1,40,1,control,3
1,40,1,QMP,0
1,40,1,MO+CA+PA,2
1,40,1,QMP+MO+CA+PA,1
1,40,2,control,0
1,40,2,QMP,1
1,40,2,MO+CA+PA,2
1,40,2,QMP+MO+CA+PA,1
1,40,3,control,3
1,40,3,QMP,1
1,40,3,MO+CA+PA,0
1,40,3,QMP+MO+CA+PA,1
1,40,4,control,0
1,40,4,QMP,1
1,40,4,MO+CA+PA,3
1,40,4,QMP+MO+CA+PA,1
1,40,5,control,4
1,40,5,QMP,0
1,40,5,MO+CA+PA,4
1,40,5,QMP+MO+CA+PA,0
1,45,1,control,2
1,45,1,QMP,1
1,45,1,MO+CA+PA,0
1,45,1,QMP+MO+CA+PA,0
1,45,2,control,4
1,45,2,QMP,2
1,45,2,MO+CA+PA,1
1,45,2,QMP+MO+CA+PA,0
1,45,3,control,3
1,45,3,QMP,1
1,45,3,MO+CA+PA,4
1,45,3,QMP+MO+CA+PA,1
1,45,4,control,2
1,45,4,QMP,1
1,45,4,MO+CA+PA,3
1,45,4,QMP+MO+CA+PA,1
1,45,5,control,2
1,45,5,QMP,1
1,45,5,MO+CA+PA,3
1,45,5,QMP+MO+CA+PA,0
1,47,1,control,3
1,47,1,QMP,1
1,47,1,MO+CA+PA,3
1,47,1,QMP+MO+CA+PA,1
1,47,2,control,2
1,47,2,QMP,1
1,47,2,MO+CA+PA,3
1,47,2,QMP+MO+CA+PA,0
1,47,3,control,3
1,47,3,QMP,0
1,47,3,MO+CA+PA,3
1,47,3,QMP+MO+CA+PA,3
1,47,4,control,3
1,47,4,QMP,1
1,47,4,MO+CA+PA,2
1,47,4,QMP+MO+CA+PA,1
1,47,5,control,3
1,47,5,QMP,0
1,47,5,MO+CA+PA,3
1,47,5,QMP+MO+CA+PA,1
1,48,1,control,2
1,48,1,QMP,0
1,48,1,MO+CA+PA,1
1,48,1,QMP+MO+CA+PA,1
1,48,2,control,0
1,48,2,QMP,0
1,48,2,MO+CA+PA,3
1,48,2,QMP+MO+CA+PA,1
1,48,3,control,3
1,48,3,QMP,1
1,48,3,MO+CA+PA,3
1,48,3,QMP+MO+CA+PA,0
1,48,4,control,1
1,48,4,QMP,1
1,48,4,MO+CA+PA,1
1,48,4,QMP+MO+CA+PA,1
1,48,5,control,3
1,48,5,QMP,0
1,48,5,MO+CA+PA,3
1,48,5,QMP+MO+CA+PA,1
1,57,1,control,2
1,57,1,QMP,1
1,57,1,MO+CA+PA,3
1,57,1,QMP+MO+CA+PA,0
1,57,2,control,3
1,57,2,QMP,1
1,57,2,MO+CA+PA,2
1,57,2,QMP+MO+CA+PA,2
1,57,3,control,3
1,57,3,QMP,2
1,57,3,MO+CA+PA,2
1,57,3,QMP+MO+CA+PA,1
1,57,4,control,2
1,57,4,QMP,1
1,57,4,MO+CA+PA,1
1,57,4,QMP+MO+CA+PA,0
1,57,5,control,0
1,57,5,QMP,3
1,57,5,MO+CA+PA,4
1,57,5,QMP+MO+CA+PA,0
1,81,1,control,3
1,81,1,QMP,1
1,81,1,MO+CA+PA,2
1,81,1,QMP+MO+CA+PA,2
1,81,2,control,3
1,81,2,QMP,1
1,81,2,MO+CA+PA,4
1,81,2,QMP+MO+CA+PA,1
1,81,3,control,3
1,81,3,QMP,0
1,81,3,MO+CA+PA,1
1,81,3,QMP+MO+CA+PA,1
1,81,4,control,3
1,81,4,QMP,1
1,81,4,MO+CA+PA,2
1,81,4,QMP+MO+CA+PA,0
1,81,5,control,1
1,81,5,QMP,1
1,81,5,MO+CA+PA,1
1,81,5,QMP+MO+CA+PA,1
1,99,1,control,2
1,99,1,QMP,1
1,99,1,MO+CA+PA,3
1,99,1,QMP+MO+CA+PA,1
1,99,2,control,3
1,99,2,QMP,1
1,99,2,MO+CA+PA,1
1,99,2,QMP+MO+CA+PA,0
1,99,3,control,1
1,99,3,QMP,0
1,99,3,MO+CA+PA,1
1,99,3,QMP+MO+CA+PA,1
1,99,4,control,1
1,99,4,QMP,1
1,99,4,MO+CA+PA,2
1,99,4,QMP+MO+CA+PA,1
1,99,5,control,0
1,99,5,QMP,1
1,99,5,MO+CA+PA,4
1,99,5,QMP+MO+CA+PA,0
1,102,1,control,0
1,102,1,QMP,1
1,102,1,MO+CA+PA,4
1,102,1,QMP+MO+CA+PA,1
1,102,2,control,2
1,102,2,QMP,2
1,102,2,MO+CA+PA,3
1,102,2,QMP+MO+CA+PA,2
1,102,3,control,0
1,102,3,QMP,0
1,102,3,MO+CA+PA,1
1,102,3,QMP+MO+CA+PA,1
1,102,4,control,2
1,102,4,QMP,1
1,102,4,MO+CA+PA,3
1,102,4,QMP+MO+CA+PA,1
1,102,5,control,2
1,102,5,QMP,2
1,102,5,MO+CA+PA,2
1,102,5,QMP+MO+CA+PA,1
1,113,1,control,3
1,113,1,QMP,2
1,113,1,MO+CA+PA,3
1,113,1,QMP+MO+CA+PA,2
1,113,2,control,4
1,113,2,QMP,3
1,113,2,MO+CA+PA,4
1,113,2,QMP+MO+CA+PA,0
1,113,3,control,4
1,113,3,QMP,1
1,113,3,MO+CA+PA,4
1,113,3,QMP+MO+CA+PA,1
1,113,4,control,4
1,113,4,QMP,1
1,113,4,MO+CA+PA,4
1,113,4,QMP+MO+CA+PA,2
1,113,5,control,4
1,113,5,QMP,1
1,113,5,MO+CA+PA,3
1,113,5,QMP+MO+CA+PA,1
1,115,1,control,0
1,115,1,QMP,1
1,115,1,MO+CA+PA,2
1,115,1,QMP+MO+CA+PA,0
1,115,2,control,4
1,115,2,QMP,0
1,115,2,MO+CA+PA,1
1,115,2,QMP+MO+CA+PA,0
1,115,3,control,2
1,115,3,QMP,2
1,115,3,MO+CA+PA,2
1,115,3,QMP+MO+CA+PA,2
1,115,4,control,2
1,115,4,QMP,2
1,115,4,MO+CA+PA,2
1,115,4,QMP+MO+CA+PA,0
1,115,5,control,1
1,115,5,QMP,2
1,115,5,MO+CA+PA,2
1,115,5,QMP+MO+CA+PA,1
1,116,1,control,4
1,116,1,QMP,1
1,116,1,MO+CA+PA,4
1,116,1,QMP+MO+CA+PA,2
1,116,2,control,3
1,116,2,QMP,0
1,116,2,MO+CA+PA,4
1,116,2,QMP+MO+CA+PA,1
1,116,3,control,1
1,116,3,QMP,1
1,116,3,MO+CA+PA,4
1,116,3,QMP+MO+CA+PA,1
1,116,4,control,1
1,116,4,QMP,1
1,116,4,MO+CA+PA,2
1,116,4,QMP+MO+CA+PA,2
1,116,5,control,4
1,116,5,QMP,1
1,116,5,MO+CA+PA,3
1,116,5,QMP+MO+CA+PA,0
1,125,1,control,3
1,125,1,QMP,1
1,125,1,MO+CA+PA,2
1,125,1,QMP+MO+CA+PA,1
1,125,2,control,2
1,125,2,QMP,0
1,125,2,MO+CA+PA,1
1,125,2,QMP+MO+CA+PA,0
1,125,3,control,1
1,125,3,QMP,0
1,125,3,MO+CA+PA,1
1,125,3,QMP+MO+CA+PA,0
1,125,4,control,2
1,125,4,QMP,1
1,125,4,MO+CA+PA,1
1,125,4,QMP+MO+CA+PA,2
1,125,5,control,1
1,125,5,QMP,0
1,125,5,MO+CA+PA,1
1,125,5,QMP+MO+CA+PA,0
1,150,1,control,2
1,150,1,QMP,1
1,150,1,MO+CA+PA,3
1,150,1,QMP+MO+CA+PA,1
1,150,2,control,3
1,150,2,QMP,3
1,150,2,MO+CA+PA,4
1,150,2,QMP+MO+CA+PA,1
1,150,3,control,3
1,150,3,QMP,2
1,150,3,MO+CA+PA,3
1,150,3,QMP+MO+CA+PA,1
1,150,4,control,2
1,150,4,QMP,1
1,150,4,MO+CA+PA,2
1,150,4,QMP+MO+CA+PA,2
1,150,5,control,2
1,150,5,QMP,0
1,150,5,MO+CA+PA,3
1,150,5,QMP+MO+CA+PA,2
1,218,1,control,4
1,218,1,QMP,1
1,218,1,MO+CA+PA,1
1,218,1,QMP+MO+CA+PA,1
1,218,2,control,3
1,218,2,QMP,1
1,218,2,MO+CA+PA,1
1,218,2,QMP+MO+CA+PA,0
1,218,3,control,1
1,218,3,QMP,1
1,218,3,MO+CA+PA,2
1,218,3,QMP+MO+CA+PA,2
1,218,4,control,1
1,218,4,QMP,1
1,218,4,MO+CA+PA,3
1,218,4,QMP+MO+CA+PA,1
1,218,5,control,2
1,218,5,QMP,2
1,218,5,MO+CA+PA,1
1,218,5,QMP+MO+CA+PA,1
1,243,1,control,4
1,243,1,QMP,0
1,243,1,MO+CA+PA,3
1,243,1,QMP+MO+CA+PA,0
1,243,2,control,2
1,243,2,QMP,0
1,243,2,MO+CA+PA,3
1,243,2,QMP+MO+CA+PA,1
1,243,3,control,4
1,243,3,QMP,1
1,243,3,MO+CA+PA,4
1,243,3,QMP+MO+CA+PA,1
1,243,4,control,2
1,243,4,QMP,3
1,243,4,MO+CA+PA,2
1,243,4,QMP+MO+CA+PA,0
1,243,5,control,4
1,243,5,QMP,1
1,243,5,MO+CA+PA,2
1,243,5,QMP+MO+CA+PA,0
1,304,1,control,2
