treatment,colony,colony_type,QMP_dose,Score.0,Score.1,Score.2,Score.3,Score.4
Control,WT1,Wild,0,9,11,6,2,2
Control,WT2,Wild,0,4,2,10,3,0
Control,WT3,Wild,0,3,5,9,3,1
Control,WT4,Wild,0,13,5,6,1,1
Control,WT5,Wild,0,5,5,12,5,1
Control,WT6,Wild,0,0,6,6,1,0
Control,AN1,Anarchistic,0,5,7,14,2,1
Control,AN2,Anarchistic,0,9,7,8,2,1
Control,AN3,Anarchistic,0,15,5,3,3,1
Control,AN4,Anarchistic,0,10,5,10,1,0
Control,AN16,Anarchistic,0,4,3,14,3,2
Control,AN263,Anarchistic,0,5,5,15,3,2
Q0.001,WT1,Wild,0.001,24,15,0,0,0
Q0.001,WT2,Wild,0.001,19,10,2,0,0
Q0.001,WT3,Wild,0.001,16,7,1,0,0
Q0.001,WT4,Wild,0.001,16,13,0,0,0
Q0.001,WT5,Wild,0.001,3,12,5,1,0
Q0.001,WT6,Wild,0.001,9,8,7,2,0
Q0.001,AN1,Anarchistic,0.001,17,13,4,0,0
Q0.001,AN2,Anarchistic,0.001,8,5,4,0,0
Q0.001,AN3,Anarchistic,0.001,11,11,4,0,0
Q0.001,AN4,Anarchistic,0.001,25,7,0,0,0
Q0.001,AN16,Anarchistic,0.001,6,9,7,0,0
Q0.001,AN263,Anarchistic,0.001,10,7,9,0,0
Q0.01,WT1,Wild,0.01,28,9,0,0,0
Q0.01,WT2,Wild,0.01,22,4,2,0,0
Q0.01,WT3,Wild,0.01,28,5,2,0,0
Q0.01,WT4,Wild,0.01,20,13,0,0,0
Q0.01,WT5,Wild,0.01,18,8,1,0,0
Q0.01,WT6,Wild,0.01,15,3,4,0,0
Q0.01,AN1,Anarchistic,0.01,12,10,3,0,0
Q0.01,AN2,Anarchistic,0.01,8,10,0,0,0
Q0.01,AN3,Anarchistic,0.01,15,11,5,0,0
Q0.01,AN4,Anarchistic,0.01,17,10,0,0,0
Q0.01,AN16,Anarchistic,0.01,13,13,5,1,0
Q0.01,AN263,Anarchistic,0.01,16,9,6,0,0
Q0.1,WT1,Wild,0.1,20,9,0,0,0
Q0.1,WT2,Wild,0.1,19,3,0,0,0
Q0.1,WT3,Wild,0.1,20,13,0,0,0
Q0.1,WT4,Wild,0.1,20,7,0,0,0
Q0.1,WT5,Wild,0.1,5,6,0,0,0
Q0.1,WT6,Wild,0.1,24,4,2,0,0
Q0.1,AN1,Anarchistic,0.1,8,13,4,1,0
Q0.1,AN2,Anarchistic,0.1,12,6,2,0,0
Q0.1,AN3,Anarchistic,0.1,5,6,0,0,0
Q0.1,AN4,Anarchistic,0.1,19,5,1,1,0
Q0.1,AN16,Anarchistic,0.1,7,19,4,2,0
Q0.1,AN263,Anarchistic,0.1,21,6,4,1,0
