treatment,queen_id,brood_id,cage_id,oocyte.size
QR,9,9,1,0.3
QR,9,9,1,2.83E-01
QR,9,9,1,3.92E-01
QR,8,8,2,2.42E-01
QR,8,8,2,1.33E-01
QR,8,8,2,0.05
QR,7,7,3,1.21E-01
QR,7,7,3,1.08E-01
QR,7,7,3,1.17E-01
QR,4,4,4,0.125
QR,4,4,4,1.67E-01
QR,4,4,4,0.1
QR,6,6,5,2.67E-01
QR,6,6,5,1.58E-01
QR,6,6,5,2.33E-01
QR,3,3,6,0.275
QR,3,3,6,4.67E-01
QR,3,3,6,0.25
QR,2,2,7,2.133333333
QR,2,2,7,2.2
QR,2,2,7,2.133333333
QR,5,5,8,1.3
QR,5,5,8,1.55
QR,5,5,8,2.83E-01
air from QR,9,9,9,2.416666667
air from QR,9,9,9,2.4
air from QR,9,9,9,2.5
air from QR,8,8,10,2.8
air from QR,8,8,10,2.183333333
air from QR,8,8,10,2.45
air from QR,7,7,11,2.116666667
air from QR,7,7,11,2.8
air from QR,7,7,11,2.716666667
air from QR,4,4,12,1.833333333
air from QR,4,4,12,2.833333333
air from QR,4,4,12,2.33E-01
air from QR,6,6,13,1.45
air from QR,6,6,13,2.733333333
air from QR,6,6,13,2.2
air from QR,3,3,14,2.316666667
air from QR,3,3,14,2.9
air from QR,3,3,14,2.816666667
air from QR,2,2,15,2.9
air from QR,2,2,15,1.966666667
air from QR,2,2,15,2.416666667
air from QR,5,5,16,2.75
air from QR,5,5,16,2.566666667
air from QR,5,5,16,2.616666667
QL,no queen ,3,17,1.333333333
QL,no queen ,3,17,2.966666667
QL,no queen ,3,17,1.383333333
QL,no queen ,1,18,2.883333333
QL,no queen ,1,18,1.883333333
QL,no queen ,1,18,2.67E-01
QL,no queen ,4,19,2.316666667
QL,no queen ,4,19,0.25
QL,no queen ,4,19,2.816666667
QL,no queen ,9,20,2.916666667
QL,no queen ,9,20,2.65
QL,no queen ,9,20,2.766666667
QL,no queen ,2,21,2.483333333
QL,no queen ,2,21,2.866666667
QL,no queen ,2,21,3
QL,no queen ,6,22,1.466666667
QL,no queen ,6,22,2.1
QL,no queen ,6,22,2.85
QL,no queen ,5,23,1.57
QL,no queen ,5,23,1.216666667
QL,no queen ,5,23,2.85
air from QL,no queen ,3,24,2.316666667
air from QL,no queen ,3,24,0.25
air from QL,no queen ,3,24,2.816666667
air from QL,no queen ,1,25,2.65
air from QL,no queen ,1,25,2.45
air from QL,no queen ,1,25,2.616666667
air from QL,no queen ,4,26,2.7
air from QL,no queen ,4,26,2.116666667
air from QL,no queen ,4,26,2.633333333
air from QL,no queen ,9,27,2.766666667
air from QL,no queen ,9,27,2.216666667
air from QL,no queen ,9,27,2.733333333
air from QL,no queen ,2,28,2.766666667
air from QL,no queen ,2,28,2.783333333
air from QL,no queen ,2,28,2.5
air from QL,no queen ,6,29,2.55
air from QL,no queen ,6,29,2.733333333
air from QL,no queen ,6,29,2.45
air from QL,no queen ,5,30,3.2
air from QL,no queen ,5,30,0.5
air from QL,no queen ,5,30,2.866666667
