trial,treatment2,queenID2,cageID,oocyte.size
caged trial 1,Caged queen,16,55,1.25
caged trial 1,Caged queen,16,55,2.233333333
caged trial 1,Caged queen,16,55,2.55
caged trial 1,Caged queen,16,56,3.33E-01
caged trial 1,Caged queen,16,56,0.275
caged trial 1,Caged queen,16,56,1.6
caged trial 1,Caged queen,13,57,5.83E-01
caged trial 1,Caged queen,13,57,1.316666667
caged trial 1,Caged queen,13,57,1.433333333
caged trial 1,Caged queen,14,58,2.233333333
caged trial 1,Caged queen,14,58,2.67E-01
caged trial 1,Caged queen,14,58,1.9
caged trial 1,Caged queen,14,59,1.1
caged trial 1,Caged queen,14,59,2.083333333
caged trial 1,Caged queen,14,59,3.05
caged trial 1,Caged queen,16,60,2.733333333
caged trial 1,Caged queen,16,60,2.65
caged trial 1,Caged queen,16,60,2.983333333
caged trial 1,Free queen,14,61,0.275
caged trial 1,Free queen,14,61,0.225
caged trial 1,Free queen,14,61,2.83E-01
caged trial 1,Free queen,14,62,2.83E-01
caged trial 1,Free queen,14,62,0.175
caged trial 1,Free queen,14,62,2.83E-01
caged trial 1,Free queen,21,63,8.08E-01
caged trial 1,Free queen,21,63,3.42E-01
caged trial 1,Free queen,21,63,5.08E-01
caged trial 1,Free queen,15,64,2.133333333
caged trial 1,Free queen,15,64,1.266666667
caged trial 1,Free queen,15,64,3.17E-01
caged trial 1,Free queen,13,65,1.666666667
caged trial 1,Free queen,14,65,3.42E-01
caged trial 1,Free queen,13,65,3.42E-01
caged trial 1,Free queen,16,66,0.55
caged trial 1,Free queen,16,66,2.908333333
caged trial 1,Free queen,16,66,3.033333333
caged trial 1,control,no queen ,67,2.616666667
caged trial 1,control,no queen ,67,0.35
caged trial 1,control,no queen ,67,2.716666667
caged trial 1,control,no queen ,68,2.866666667
caged trial 1,control,no queen ,68,2.483333333
caged trial 1,control,no queen ,68,2.67E-01
caged trial 1,control,no queen ,69,2.791666667
caged trial 1,control,no queen ,69,1.75
caged trial 1,control,no queen ,69,1.95
caged trial 1,control,no queen ,70,2.666666667
caged trial 1,control,no queen ,70,2.516666667
caged trial 1,control,no queen ,70,1.616666667
caged trial 1,control,no queen ,71,2.5
caged trial 1,control,no queen ,71,2.33E-01
caged trial 1,control,no queen ,71,3.17E-01
caged trial 1,control,no queen ,72,0.225
caged trial 1,control,no queen ,72,2.67E-01
caged trial 1,control,no queen ,72,3.83E-01
caged trial 1,control,no queen ,73,2.883333333
caged trial 1,control,no queen ,73,1.8
caged trial 1,control,no queen ,73,1.83E-01
caged trial 2,Caged queen,200,74,2.466666667
caged trial 2,Caged queen,200,74,1.566666667
caged trial 2,Caged queen,200,74,1.716666667
caged trial 2,Caged queen,201,75,2.8
caged trial 2,Caged queen,201,75,3.233333333
caged trial 2,Caged queen,201,75,3
caged trial 2,Caged queen,202,76,2.883333333
caged trial 2,Caged queen,202,76,2.8
caged trial 2,Caged queen,202,76,3
caged trial 2,Caged queen,203,77,1.65
caged trial 2,Caged queen,203,77,0.35
caged trial 2,Caged queen,203,77,3.283333333
caged trial 2,Caged queen,204,78,7.83E-01
caged trial 2,Caged queen,204,78,2.366666667
caged trial 2,Caged queen,204,78,1.366666667
caged trial 2,Caged queen,205,79,0.9
caged trial 2,Caged queen,205,79,2.166666667
caged trial 2,Caged queen,205,79,1.3
caged trial 2,control,no queen ,80,1.3
caged trial 2,control,no queen ,80,2.733333333
caged trial 2,control,no queen ,80,2.333333333
caged trial 2,control,no queen ,81,2.65
caged trial 2,control,no queen ,81,0.25
caged trial 2,control,no queen ,81,0.1
caged trial 2,control,no queen ,82,1.55
caged trial 2,control,no queen ,82,2.866666667
caged trial 2,control,no queen ,82,1.283333333
caged trial 2,control,no queen ,83,1.333333333
caged trial 2,control,no queen ,83,3.183333333
caged trial 2,control,no queen ,83,4.33E-01
caged trial 2,control,no queen ,84,3.3
caged trial 2,control,no queen ,84,2.65
caged trial 2,control,no queen ,84,2.716666667
caged trial 2,control,no queen ,85,2.716666667
caged trial 2,control,no queen ,85,1.883333333
caged trial 2,control,no queen ,85,2.83E-01
caged trial 2,control,no queen ,86,2.95
caged trial 2,control,no queen ,86,3.116666667
caged trial 2,control,no queen ,86,2.2
caged trial 2,Free queen,200,87,4.83E-01
caged trial 2,Free queen,200,87,0.35
caged trial 2,Free queen,200,87,3.17E-01
caged trial 2,Free queen,201,88,0.5
caged trial 2,Free queen,201,88,0.75
caged trial 2,Free queen,201,88,5.67E-01
caged trial 2,Free queen,206,89,3.83E-01
caged trial 2,Free queen,206,89,9.17E-01
caged trial 2,Free queen,206,89,5.67E-01
caged trial 2,Free queen,202,90,4.67E-01
caged trial 2,Free queen,202,90,0.2
caged trial 2,Free queen,202,90,2.066666667
caged trial 2,Free queen,203,91,0.5
caged trial 2,Free queen,203,91,1.066666667
caged trial 2,Free queen,203,91,4.83E-01
caged trial 2,Free queen,204,92,1.8
caged trial 2,Free queen,204,92,9.17E-01
caged trial 2,Free queen,204,92,0.95
