colony,treatment,ovary_development,ovary_nr
1,control,1,10
1,control,2,4
1,control,1,12
1,control,1,14
1,control,1,12
1,control,1,11
1,control,1,9
1,control,1,12
1,control,2,8
1,control,1,12
1,control,1,8
1,control,1,10
1,control,1,11
1,control,3,8
1,control,2,8
1,control,3,4
1,control,2,6
1,control,1,12
1,control,3,6
1,control,3,6
2,control,1,12
2,control,1,10
2,control,1,10
2,control,1,12
2,control,3,4
2,control,1,8
2,control,1,9
2,control,3,4
2,control,1,12
2,control,1,10
2,control,2,6
2,control,2,4
2,control,1,8
2,control,1,8
2,control,1,10
2,control,1,12
2,control,2,8
2,control,1,11
2,control,3,4
2,control,2,8
3,control,1,12
3,control,1,10
3,control,2,6
3,control,1,10
3,control,1,12
3,control,3,4
3,control,1,8
3,control,1,8
3,control,3,4
3,control,1,8
3,control,1,10
3,control,2,6
3,control,1,10
3,control,2,6
3,control,1,10
3,control,1,12
3,control,2,6
3,control,1,8
3,control,1,8
3,control,3,4
1,T9ODA,1,8
1,T9ODA,1,10
1,T9ODA,1,12
1,T9ODA,1,12
1,T9ODA,1,9
1,T9ODA,1,10
1,T9ODA,1,12
1,T9ODA,1,12
1,T9ODA,1,8
1,T9ODA,1,15
1,T9ODA,1,10
1,T9ODA,1,8
1,T9ODA,1,10
1,T9ODA,1,12
1,T9ODA,1,11
1,T9ODA,1,8
1,T9ODA,1,8
1,T9ODA,1,12
1,T9ODA,1,9
1,T9ODA,1,10
2,T9ODA,1,11
2,T9ODA,1,10
2,T9ODA,1,10
2,T9ODA,1,13
2,T9ODA,1,8
2,T9ODA,1,12
2,T9ODA,1,10
2,T9ODA,1,9
2,T9ODA,1,14
2,T9ODA,1,8
2,T9ODA,1,12
2,T9ODA,1,10
2,T9ODA,1,12
2,T9ODA,1,10
2,T9ODA,1,12
2,T9ODA,1,14
2,T9ODA,1,18
2,T9ODA,1,12
2,T9ODA,1,12
2,T9ODA,1,9
3,T9ODA,1,10
3,T9ODA,1,12
3,T9ODA,1,12
3,T9ODA,1,8
3,T9ODA,1,12
3,T9ODA,1,12
3,T9ODA,1,10
3,T9ODA,1,12
3,T9ODA,1,10
3,T9ODA,1,8
3,T9ODA,1,11
3,T9ODA,1,10
3,T9ODA,1,12
3,T9ODA,1,9
3,T9ODA,1,10
3,T9ODA,1,9
3,T9ODA,1,8
3,T9ODA,1,10
3,T9ODA,1,9
3,T9ODA,1,12
1,T9HDA,1,11
1,T9HDA,1,9
1,T9HDA,1,12
1,T9HDA,1,11
1,T9HDA,1,13
1,T9HDA,1,9
1,T9HDA,1,9
1,T9HDA,2,8
1,T9HDA,1,10
1,T9HDA,1,9
1,T9HDA,1,11
1,T9HDA,1,12
1,T9HDA,1,11
1,T9HDA,1,12
1,T9HDA,1,9
1,T9HDA,1,10
1,T9HDA,2,8
1,T9HDA,1,12
1,T9HDA,1,11
1,T9HDA,1,12
2,T9HDA,1,13
2,T9HDA,1,11
2,T9HDA,1,9
2,T9HDA,1,10
2,T9HDA,1,9
2,T9HDA,1,11
2,T9HDA,1,12
2,T9HDA,1,9
2,T9HDA,1,13
2,T9HDA,2,10
2,T9HDA,1,9
2,T9HDA,1,11
2,T9HDA,1,12
2,T9HDA,1,10
2,T9HDA,1,9
2,T9HDA,1,11
2,T9HDA,1,12
2,T9HDA,1,13
2,T9HDA,1,10
2,T9HDA,1,9
3,T9HDA,1,1
3,T9HDA,1,12
3,T9HDA,1,12
3,T9HDA,1,12
3,T9HDA,1,8
3,T9HDA,1,10
3,T9HDA,1,10
3,T9HDA,1,10
3,T9HDA,1,8
3,T9HDA,1,12
3,T9HDA,1,12
3,T9HDA,1,12
3,T9HDA,1,10
3,T9HDA,1,12
3,T9HDA,2,8
3,T9HDA,1,11
3,T9HDA,1,12
3,T9HDA,1,8
3,T9HDA,1,12
3,T9HDA,1,10
1,T10HDA,2,6
1,T10HDA,2,6
1,T10HDA,2,5
1,T10HDA,1,12
1,T10HDA,2,6
1,T10HDA,2,7
1,T10HDA,1,10
1,T10HDA,2,6
1,T10HDA,2,8
1,T10HDA,2,8
1,T10HDA,3,4
1,T10HDA,2,6
1,T10HDA,2,8
1,T10HDA,2,6
1,T10HDA,1,14
1,T10HDA,2,6
1,T10HDA,2,8
1,T10HDA,3,6
1,T10HDA,2,8
1,T10HDA,1,10
2,T10HDA,1,12
2,T10HDA,1,8
2,T10HDA,1,12
2,T10HDA,2,8
2,T10HDA,1,10
2,T10HDA,1,9
2,T10HDA,2,6
2,T10HDA,2,8
2,T10HDA,2,6
2,T10HDA,1,12
2,T10HDA,1,10
2,T10HDA,1,12
2,T10HDA,2,8
2,T10HDA,1,12
2,T10HDA,1,10
2,T10HDA,1,10
2,T10HDA,2,8
2,T10HDA,2,7
2,T10HDA,2,6
2,T10HDA,1,12
3,T10HDA,1,12
3,T10HDA,1,10
3,T10HDA,1,10
3,T10HDA,1,12
3,T10HDA,1,12
3,T10HDA,2,7
3,T10HDA,2,6
3,T10HDA,1,12
3,T10HDA,1,12
3,T10HDA,1,10
3,T10HDA,3,12
3,T10HDA,1,9
3,T10HDA,1,10
3,T10HDA,2,8
3,T10HDA,1,12
3,T10HDA,2,6
3,T10HDA,1,10
3,T10HDA,1,12
3,T10HDA,1,8
3,T10HDA,1,7
1,T10HDAA,1,12
1,T10HDAA,1,10
1,T10HDAA,3,5
1,T10HDAA,1,10
1,T10HDAA,2,7
1,T10HDAA,1,10
1,T10HDAA,2,6
1,T10HDAA,3,5
1,T10HDAA,3,4
1,T10HDAA,2,10
1,T10HDAA,2,6
1,T10HDAA,1,14
1,T10HDAA,2,8
1,T10HDAA,2,8
1,T10HDAA,2,6
1,T10HDAA,2,8
1,T10HDAA,2,6
1,T10HDAA,3,5
1,T10HDAA,1,12
1,T10HDAA,3,4
2,T10HDAA,1,10
2,T10HDAA,1,14
2,T10HDAA,2,6
2,T10HDAA,1,10
2,T10HDAA,1,12
2,T10HDAA,2,6
2,T10HDAA,2,7
2,T10HDAA,1,12
2,T10HDAA,1,9
2,T10HDAA,1,12
2,T10HDAA,1,10
2,T10HDAA,2,8
2,T10HDAA,2,6
2,T10HDAA,1,12
2,T10HDAA,1,12
2,T10HDAA,1,10
2,T10HDAA,2,8
2,T10HDAA,1,9
2,T10HDAA,1,10
2,T10HDAA,2,8
3,T10HDAA,1,10
3,T10HDAA,1,12
3,T10HDAA,1,10
3,T10HDAA,1,12
3,T10HDAA,1,10
3,T10HDAA,1,10
3,T10HDAA,1,9
3,T10HDAA,2,8
3,T10HDAA,1,10
3,T10HDAA,2,6
3,T10HDAA,1,10
3,T10HDAA,2,6
3,T10HDAA,1,10
3,T10HDAA,1,11
3,T10HDAA,1,10
3,T10HDAA,2,6
3,T10HDAA,1,10
3,T10HDAA,1,12
3,T10HDAA,2,5
3,T10HDAA,1,10
1,THOB,1,8
1,THOB,1,12
1,THOB,1,11
1,THOB,1,8
1,THOB,1,8
1,THOB,2,6
1,THOB,1,8
1,THOB,1,12
1,THOB,2,8
1,THOB,2,6
1,THOB,1,10
1,THOB,2,8
1,THOB,1,11
1,THOB,1,12
1,THOB,2,8
1,THOB,1,12
1,THOB,1,12
1,THOB,2,6
1,THOB,1,13
1,THOB,1,14
2,THOB,1,12
2,THOB,2,10
2,THOB,1,14
2,THOB,1,12
2,THOB,1,10
2,THOB,2,6
2,THOB,1,10
2,THOB,1,12
2,THOB,3,10
2,THOB,1,12
2,THOB,1,12
2,THOB,1,10
2,THOB,2,9
2,THOB,2,8
2,THOB,1,12
2,THOB,2,8
2,THOB,1,10
2,THOB,2,6
2,THOB,1,14
2,THOB,1,10
3,THOB,1,8
3,THOB,1,12
3,THOB,1,12
3,THOB,2,8
3,THOB,1,10
3,THOB,2,6
3,THOB,1,14
3,THOB,1,10
3,THOB,2,8
3,THOB,1,12
3,THOB,1,8
